name,numpy<sup>*</sup>,cupy,dask,jax,mxnet,pytorch,sparse,tensorflow
"abs","&#128640","","","&#128640","&#128640","&#128640","",""
"acos","&#128640","","","","","&#128640","",""
"acosh","&#128640","","","","","&#128640","",""
"add","&#128640","&#128640","&#128640","&#128640","&#128640","&#128640","",""
"all","&#128640","&#128640","&#128640","&#128640","","&#128640","",""
"any","&#128640","&#128640","&#128640","&#128640","","&#128640","",""
"arange","&#128640","&#128640","&#128640","&#128640","&#128640","&#128640","",""
"argmax","&#128640","&#128640","&#128640","&#128640","&#128640","&#128640","",""
"argmin","&#128640","&#128640","&#128640","&#128640","&#128640","&#128640","",""
"argsort","&#128640","&#128640","","&#128640","&#128640","&#128640","","&#128640"
"asarray","&#128640","&#128640","&#128640","&#128640","","","",""
"asin","&#128640","","","","","&#128640","",""
"asinh","&#128640","","","","","&#128640","",""
"atan","&#128640","","","","","&#128640","",""
"atan2","&#128640","","","","","&#128640","",""
"atanh","&#128640","","","","","&#128640","",""
"bitwise_and","&#128640","&#128640","&#128640","&#128640","","&#128640","",""
"bitwise_invert","&#128640","","","","","","",""
"bitwise_left_shift","&#128640","","","","","","",""
"bitwise_or","&#128640","&#128640","&#128640","&#128640","","&#128640","",""
"bitwise_right_shift","&#128640","","","","","","",""
"bitwise_xor","&#128640","&#128640","&#128640","&#128640","","&#128640","",""
"broadcast_arrays","&#128640","&#128640","&#128640","&#128640","","","",""
"broadcast_to","&#128640","&#128640","&#128640","&#128640","&#128640","&#128640","","&#128640"
"can_cast","&#128640","&#128640","","&#128640","","&#128640","",""
"ceil","&#128640","&#128640","&#128640","&#128640","&#128640","&#128640","",""
"concat","&#128640","","","","&#128640","","","&#128640"
"cos","&#128640","&#128640","&#128640","&#128640","&#128640","&#128640","",""
"cosh","&#128640","&#128640","&#128640","&#128640","&#128640","&#128640","",""
"divide","&#128640","&#128640","","&#128640","&#128640","&#128640","",""
"e","&#128640","","","","","","",""
"einsum","","&#128640","&#128640","&#128640","","&#128640","","&#128640"
"empty","&#128640","&#128640","&#128640","&#128640","&#128640","&#128640","",""
"empty_like","&#128640","&#128640","&#128640","&#128640","","&#128640","",""
"equal","&#128640","&#128640","&#128640","&#128640","&#128640","&#128640","",""
"exp","&#128640","&#128640","&#128640","&#128640","&#128640","&#128640","",""
"expand_dims","&#128640","&#128640","","&#128640","&#128640","","","&#128640"
"expm1","&#128640","&#128640","&#128640","&#128640","&#128640","&#128640","",""
"eye","&#128640","&#128640","&#128640","&#128640","&#128640","&#128640","&#128640","&#128640"
"finfo","&#128640","","","&#128640","","","",""
"flip","&#128640","&#128640","&#128640","&#128640","&#128640","&#128640","",""
"floor","&#128640","&#128640","&#128640","&#128640","&#128640","&#128640","",""
