numpy,cupy,dask.array,jax,mxnet,pytorch,tensorflow
"numpy.absolute","absolute","","absolute","absolute","abs","math.abs"
"numpy.add","add","","add","add","add","math.add"
"numpy.all","all","all","alltrue","","","reduce_all"
"numpy.allclose","allclose","allclose","allclose","","allclose",""
"numpy.amax","max","max","max","amax","","math.reduce_max"
"numpy.amin","min","min","min","amin","","math.reduce_min"
"numpy.angle","angle","angle","angle","angle","angle","math.angle"
"numpy.any","any","any","sometrue","","","math.reduce_any"
"numpy.arange","arange","arange","arange","arange","range","range"
"numpy.arccos","arccos","arccos","arccos","arccos","acos","math.acos"
"numpy.arccosh","arccosh","arccosh","arccosh","arccosh","","math.acosh"
"numpy.arcsin","arcsin","arcsin","arcsin","arcsin","asin","math.asin"
"numpy.arcsinh","arcsinh","arcsinh","arcsinh","arcsinh","","math.asinh"
"numpy.arctan","arctan","arctan","arctan","arctan","atan","math.atan"
"numpy.arctan2","arctan2","arctan2","arctan2","arctan2","atan2","math.atan2"
"numpy.arctanh","arctanh","arctanh","arctanh","arctanh","","math.atanh"
"numpy.argmax","argmax","argmax","argmax","argmax","argmax","math.argmax"
"numpy.argmin","argmin","argmin","argmin","argmin","argmin","math.argmin"
"numpy.argsort","argsort","","argsort","argsort","argsort","argsort"
"numpy.around","around","round","around","around","",""
"numpy.array","array","array","array","array","tensor","make_ndarray"
"numpy.asarray","asarray","asarray","asarray","asarray","","convert_to_tensor"
"numpy.atleast_1d","atleast_1d","atleast_1d","atleast_1d","atleast_1d","",""
"numpy.atleast_2d","atleast_2d","atleast_2d","atleast_2d","atleast_2d","",""
"numpy.atleast_3d","atleast_3d","atleast_3d","atleast_3d","atleast_3d","",""
"numpy.bincount","bincount","bincount","","bincount","bincount","math.bincount"
"numpy.bitwise_and","bitwise_and","bitwise_and","bitwise_and","","bitwise_and","bitwise.bitwise_and"
"numpy.bitwise_or","bitwise_or","bitwise_or","bitwise_or","","bitwise_or","bitwise.bitwise_or"
"numpy.bitwise_xor","bitwise_xor","bitwise_xor","bitwise_xor","","bitwise_xor","bitwise.bitwise_xor"
"numpy.broadcast_arrays","broadcast_arrays","broadcast_arrays","broadcast_arrays","broadcast_arrays","broadcast_tensors",""
"numpy.broadcast_to","broadcast_to","broadcast_to","broadcast_to","broadcast_to","","broadcast_to"
"numpy.ceil","ceil","ceil","ceil","ceil","ceil","math.ceil"
"numpy.clip","clip","clip","clip","clip","","clip_by_value"
"numpy.concatenate","concatenate","concatenate","concatenate","concatenate","cat","concat"
"numpy.conj","conj","conj","conj","conj","conj","math.conj"
"numpy.copysign","copysign","copysign","copysign","copysign","",""
"numpy.corrcoef","corrcoef","corrcoef","corrcoef","corrcoef","",""
"numpy.cos","cos","cos","cos","cos","cos","math.cos"
"numpy.cosh","cosh","cosh","cosh","cosh","cosh","math.cosh"
"numpy.count_nonzero","count_nonzero","count_nonzero","count_nonzero","count_nonzero","","math.count_nonzero"
"numpy.cov","cov","cov","cov","cov","",""
"numpy.cross","cross","","cross","cross","cross","linalg.cross"
"numpy.cumprod","cumprod","cumprod","cumproduct","cumprod","cumprod","math.cumprod"
"numpy.cumsum","cumsum","cumsum","cumsum","cumsum","cumsum","math.cumsum"
"numpy.deg2rad","deg2rad","deg2rad","deg2rad","deg2rad","",""
"numpy.degrees","degrees","degrees","degrees","degrees","",""
"numpy.diag","diag","diag","diag","diag","diag","linalg.diag"
"numpy.diagonal","diagonal","diagonal","diagonal","diagonal","diagonal","linalg.diag_part"
"numpy.divide","divide","","divide","divide","div","math.divide"
"numpy.dot","dot","dot","dot","dot","",""
"numpy.dstack","dstack","dstack","dstack","dstack","",""
"numpy.einsum","einsum","einsum","einsum","einsum","einsum","einsum"
"numpy.empty","empty","empty","empty","empty","empty",""
"numpy.empty_like","empty_like","empty_like","empty_like","empty_like","empty_like",""
"numpy.equal","equal","","equal","","eq","math.equal"
"numpy.exp","exp","exp","exp","exp","exp","math.exp"
"numpy.expand_dims","expand_dims","","expand_dims","expand_dims","unsqueeze","expand_dims"
"numpy.expm1","expm1","expm1","expm1","expm1","expm1","math.expm1"
"numpy.eye","eye","eye","eye","eye","eye","eye"
"numpy.fft.fft","fft.fft","fft.fft","fft","","fft","signal.fft"
"numpy.fft.fft2","fft.fft2","fft.fft2","fft2","","","signal.fft2d"
"numpy.fft.fftn","fft.fftn","fft.fftn","fftn","","","signal.fft3d"
"numpy.fft.fftshift","fft.fftshift","fft.fftshift","fftshift","","","signal.fftshift"
"numpy.fft.ifft","fft.ifft","fft.ifft","ifft","","ifft","signal.ifft"
"numpy.fft.ifft2","fft.ifft2","fft.ifft2","ifft2","","","signal.ifft2d"
