numpy,dask.array,matplotlib,pandas,skimage,xarray
"numpy.array","1","1","1","1","2"
"numpy.arange","2","2","2","7","1"
"numpy.asarray","26","3","4","12","3"
"numpy.reshape","6","12","6","8","4"
"numpy.all","4","17","3","6","7"
"numpy.ones","5","19","14","4","6"
"numpy.sum","3","18","8","3","13"
"numpy.zeros","15","5","9","2","9"
"numpy.amax","9","8","19","5","16"
"numpy.mean","7","29","10","13","11"
"numpy.ravel","37","7","16","11","8"
"numpy.amin","10","10","20","15","14"
"numpy.transpose","20","9","15","16","10"
"numpy.empty","18","28","12","17","21"
"numpy.any","12","21","5","19","20"
"numpy.linspace","34","4","33","21","5"
"numpy.isnan","8","48","7","50","22"
"numpy.sqrt","51","22","22","10","62"
"numpy.concatenate","27","15","17","28","24"
"numpy.sin","44","6","49","24","15"
"numpy.cos","133","14","64","23","25"
"numpy.where","29","61","18","41","30"
"numpy.allclose","31","45","37","26","17"
"numpy.argmax","30","82","31","36","29"
"numpy.add","32","80","21","77","28"
"numpy.cumsum","28","38","32","35","44"
"numpy.prod","11","90","28","74","36"
"numpy.nonzero","158","64","23","37","34"
"numpy.ceil","81","25","96","29","39"
"numpy.argmin","25","42","35","53","70"
"numpy.log","36","33","42","48","91"
"numpy.exp","117","35","43","31","56"
"numpy.zeros_like","131","39","55","18","43"
"numpy.unique","79","51","44","27","23"
"numpy.empty_like","116","44","39","30","79"
"numpy.argsort","45","62","25","42","71"
"numpy.full","136","49","59","32","32"
"numpy.tile","129","31","26","58","51"
"numpy.round_","128","55","34","45","108"
"numpy.maximum","42","70","68","56","18"
"numpy.sort","58","56","29","33","111"
"numpy.isfinite","154","24","40","83","57"
"numpy.ones_like","140","58","70","39","59"
"numpy.squeeze","169","60","41","57","113"
"numpy.logical_not","93","100","67","55","33"
"numpy.median","70","89","46","86","58"
"numpy.minimum","71","78","69","71","48"
"numpy.percentile","177","71","27","73","35"
"numpy.atleast_2d","163","75","56","63","73"
"numpy.logical_or","57","76","60","101","98"
"numpy.deg2rad","134","20","88","46","77"
"numpy.floor","153","34","77","54","81"
"numpy.atleast_1d","132","36","102","78","27"
"numpy.arcsin","149","81","71","105","65"
"numpy.log2","156","52","83","70","94"
"numpy.log10","138","26","66","85","92"
"numpy.roll","161","73","85","47","107"
"numpy.hstack","165","37","90","38","85"
"numpy.isinf","109","57","36","98","89"
"numpy.take","146","91","11","124","38"
"numpy.logical_and","92","99","51","51","97"
"numpy.rad2deg","96","40","79","93","103"
"numpy.arctan","150","93","73","96","67"
"numpy.real","97","72","100","59","105"
"numpy.sign","98","59","113","103","61"
"numpy.absolute","39","11","30","9","-"
"numpy.std","13","-","24","22","37"
"numpy.dot","21","30","38","109","-"
"numpy.clip","63","32","-","20","54"
"numpy.nanmax","19","102","47","-","41"
"numpy.vstack","100","13","54","34","-"
"numpy.stack","76","50","-","40","26"
"numpy.nanmin","22","103","48","-","42"
"numpy.meshgrid","166","16","-","52","47"
"numpy.eye","17","95","82","25","-"
"numpy.var","16","-","45","62","118"
"numpy.broadcast_to","62","43","57","-","53"
"numpy.arctan2","52","46","-","60","68"
"numpy.bincount","104","47","53","65","-"
"numpy.cumprod","53","-","65","108","55"
"numpy.expand_dims","164","41","81","-","31"
"numpy.pad","159","105","-","14","19"
"numpy.repeat","127","27","13","102","-"
"numpy.hypot","88","23","-","49","86"
"numpy.angle","112","65","-","87","52"
"numpy.subtract","59","-","52","94","114"
"numpy.histogram","67","85","109","82","-"
