numpy,cupy,dask.array,jax,mxnet,pytorch,tensorflow
"numpy.append","","","append","append","",""
"numpy.apply_along_axis","","apply_along_axis","","","",""
"numpy.apply_over_axes","","apply_over_axes","","","",""
"numpy.argpartition","argpartition","","","argpartition","",""
"numpy.argwhere","","argwhere","","argwhere","",""
"numpy.array2string","","","","array2string","",""
"numpy.array_equal","","","","","",""
"numpy.array_equiv","","","","","",""
"numpy.array_repr","array_repr","","array_repr","array_repr","",""
"numpy.array_split","array_split","","","array_split","",""
"numpy.array_str","array_str","","array_str","array_str","",""
"numpy.asanyarray","asanyarray","asanyarray","","asanyarray","",""
"numpy.asarray_chkfinite","","","","asarray_chkfinite","",""
"numpy.ascontiguousarray","ascontiguousarray","","","ascontiguousarray","",""
"numpy.asfarray","","","","asfarray","",""
"numpy.asfortranarray","asfortranarray","","","asfortranarray","",""
"numpy.asmatrix","","","","asmatrix","",""
"numpy.asscalar","","","","asscalar","",""
"numpy.average","average","average","","average","",""
"numpy.bartlett","","","bartlett","","bartlett_window",""
"numpy.base_repr","base_repr","","","base_repr","",""
"numpy.binary_repr","binary_repr","","","binary_repr","",""
"numpy.blackman","blackman","","blackman","","blackman_window",""
"numpy.block","","block","block","block","",""
"numpy.bmat","","","","bmat","",""
"numpy.busday_count","","","","","",""
"numpy.busday_offset","","","","","",""
"numpy.can_cast","can_cast","","can_cast","","can_cast",""
"numpy.cbrt","cbrt","","","cbrt","",""
"numpy.char.add","","","","","","strings.join"
"numpy.char.array","","","","core.defchararray.array","",""
"numpy.char.asarray","","","","core.defchararray.asarray","",""
"numpy.char.capitalize","","","","","",""
"numpy.char.center","","","","","",""
"numpy.char.count","","","","","",""
"numpy.char.decode","","","","","","strings.unicode_decode"
"numpy.char.encode","","","","","","strings.unicode_encode"
"numpy.char.endswith","","","","","",""
"numpy.char.equal","","","","","",""
"numpy.char.expandtabs","","","","","",""
"numpy.char.find","","","","","",""
"numpy.char.greater","","","","","",""
"numpy.char.greater_equal","","","","","",""
"numpy.char.index","","","","","",""
"numpy.char.isalnum","","","","","",""
"numpy.char.isalpha","","","","","",""
"numpy.char.isdecimal","","","","","",""
"numpy.char.isdigit","","","","","",""
"numpy.char.islower","","","","","",""
"numpy.char.isnumeric","","","","","",""
"numpy.char.isspace","","","","","",""
"numpy.char.istitle","","","","","",""
"numpy.char.isupper","","","","","",""
"numpy.char.join","","","","","",""
"numpy.char.less","","","","","",""
"numpy.char.less_equal","","","","","",""
"numpy.char.ljust","","","","","",""
"numpy.char.lower","","","","","",""
"numpy.char.lstrip","","","","","",""
"numpy.char.mod","","","","","",""
"numpy.char.multiply","","","","","",""
"numpy.char.not_equal","","","","","",""
"numpy.char.partition","","","","","",""
"numpy.char.replace","","","","","",""
"numpy.char.rfind","","","","","",""
"numpy.char.rindex","","","","","",""
"numpy.char.rjust","","","","","",""
"numpy.char.rpartition","","","","","",""
"numpy.char.rsplit","","","","","",""
"numpy.char.rstrip","","","","","",""
"numpy.char.split","","","","","","strings.split"
"numpy.char.splitlines","","","","","",""
"numpy.char.startswith","","","","","",""
"numpy.char.str_len","","","","","",""
"numpy.char.strip","","","","","","strings.strip"
"numpy.char.swapcase","","","","","",""
"numpy.char.title","","","","","",""
"numpy.char.translate","","","","","",""
"numpy.char.upper","","","","","",""
"numpy.char.zfill","","","","","",""
"numpy.choose","","choose","","","",""
"numpy.column_stack","column_stack","","column_stack","column_stack","",""
"numpy.common_type","common_type","","","","",""
"numpy.compress","","compress","","","",""
"numpy.conjugate","","","conjugate","conjugate","",""
"numpy.convolve","","","convolve","convolve","",""
"numpy.copy","copy","","","copy","","identity"
"numpy.copyto","copyto","","","copyto","",""
"numpy.core.records.array","","","","core.records.array","",""
"numpy.core.records.fromarrays","","","","core.records.fromarrays","",""
"numpy.core.records.fromfile","","","","core.records.fromfile","",""
"numpy.core.records.fromrecords","","","","core.records.fromrecords","",""
"numpy.core.records.fromstring","","","","core.records.fromstring","",""
"numpy.correlate","","","correlate","correlate","",""
"numpy.datetime_as_string","","","","","",""
"numpy.datetime_data","","","","","",""
"numpy.delete","","","","delete","",""
"numpy.diag_indices","","","diag_indices","","",""
"numpy.diag_indices_from","","","","","",""
"numpy.diagflat","diagflat","","","diagflat","diagflat",""
"numpy.diff","diff","diff","","diff","",""
"numpy.digitize","","digitize","","digitize","",""
"numpy.divmod","","","divmod","divmod","",""
"numpy.dsplit","dsplit","","dsplit","dsplit","",""
"numpy.ediff1d","","ediff1d","","ediff1d","",""
"numpy.einsum_path","","","","einsum_path","",""
"numpy.exp2","exp2","","exp2","exp2","",""
"numpy.extract","","","","extract","",""
"numpy.fabs","","fabs","fabs","fabs","",""
"numpy.fft.fftfreq","fft.fftfreq","fft.fftfreq","fftfreq","","",""
"numpy.fft.hfft","fft.hfft","fft.hfft","","","",""
"numpy.fft.ihfft","fft.ihfft","fft.ihfft","","","",""
"numpy.fft.rfftfreq","fft.rfftfreq","fft.rfftfreq","rfftfreq","","",""
"numpy.fill_diagonal","fill_diagonal","","","","","linalg.set_diag"
"numpy.find_common_type","","","","","",""
"numpy.flatnonzero","flatnonzero","flatnonzero","","flatnonzero","",""
"numpy.float_power","","","float_power","float_power","",""
"numpy.format_float_positional","","","","format_float_positional","",""
"numpy.format_float_scientific","","","","format_float_scientific","",""
"numpy.frombuffer","","","","frombuffer","",""
"numpy.fromfile","fromfile","","","fromfile","",""
"numpy.fromfunction","","fromfunction","","fromfunction","",""
"numpy.fromiter","","","","fromiter","",""
"numpy.frompyfunc","","frompyfunc","","","",""
"numpy.fromregex","","","","fromregex","",""
"numpy.fromstring","","","","fromstring","",""
"numpy.fv","","","","","",""
"numpy.gcd","","","gcd","gcd","",""
"numpy.genfromtxt","","","","genfromtxt","",""
"numpy.geomspace","","","geomspace","geomspace","",""
"numpy.get_printoptions","","","","get_printoptions","",""
"numpy.getbufsize","","","","","",""
"numpy.geterr","","","","","",""
"numpy.geterrcall","","","","","",""
"numpy.geterrobj","","","","","",""
"numpy.gradient","","gradient","","gradient","",""
"numpy.hamming","hamming","","hamming","","hamming_window",""
"numpy.hanning","hanning","","hanning","","hann_window",""
"numpy.heaviside","","","heaviside","heaviside","",""
"numpy.histogram2d","","","","histogram2d","",""
"numpy.histogram_bin_edges","","","","histogram_bin_edges","",""
"numpy.histogramdd","","","","histogramdd","",""
"numpy.hsplit","hsplit","","hsplit","hsplit","",""
"numpy.i0","i0","","","i0","","math.bessel_i0"
"numpy.identity","identity","","identity","identity","",""
"numpy.in1d","in1d","","","","",""
"numpy.indices","indices","indices","","","",""
"numpy.info","","","","","",""
"numpy.inner","inner","","inner","inner","",""
"numpy.insert","","insert","","insert","",""
"numpy.interp","","","","interp","",""
"numpy.intersect1d","","","","","","sets.intersection"
"numpy.invert","invert","invert","","","","bitwise.invert"
"numpy.ipmt","","","","","",""
"numpy.irr","","","","","",""
"numpy.is_busday","","","","","",""
"numpy.isclose","isclose","isclose","isclose","","",""
"numpy.iscomplexobj","iscomplexobj","","","","",""
"numpy.isfortran","isfortran","","","","",""
"numpy.isin","isin","isin","","","",""
"numpy.isnat","","","","","",""
"numpy.isneginf","","isneginf","isneginf","","",""
"numpy.isposinf","","isposinf","isposinf","","",""
"numpy.isrealobj","isrealobj","","","","",""
"numpy.isscalar","isscalar","","isscalar","","",""
"numpy.issctype","","","","","",""
"numpy.issubclass_","","","","","",""
"numpy.issubdtype","","","issubdtype","","",""
"numpy.issubsctype","","","issubsctype","","",""
"numpy.ix_","ix_","","ix_","","",""
"numpy.kaiser","","","kaiser","","",""
"numpy.kron","kron","","kron","kron","",""
"numpy.lcm","","","lcm","lcm","",""
"numpy.left_shift","left_shift","","left_shift","","","bitwise.left_shift"
"numpy.lexsort","lexsort","","","lexsort","",""
"numpy.linalg.cond","","","cond","linalg.cond","",""
"numpy.linalg.eigh","linalg.eigh","","eigh","linalg.eigh","",""
"numpy.linalg.eigvals","","","eigvals","linalg.eigvals","","eigvals"
"numpy.linalg.multi_dot","","","multi_dot","linalg.multi_dot","",""
"numpy.linalg.tensorinv","linalg.tensorinv","","tensorinv","linalg.tensorinv","",""
"numpy.linalg.tensorsolve","linalg.tensorsolve","","tensorsolve","linalg.tensorsolve","",""
"numpy.load","load","","","load","",""
"numpy.loadtxt","","","","loadtxt","",""
"numpy.lookfor","","","","","",""
"numpy.ma.all","","","","","",""
"numpy.ma.allclose","","","","","",""
"numpy.ma.allequal","","","","","",""
