numpy,cupy,dask.array,jax,mxnet,pytorch,tensorflow
"numpy.absolute","absolute","","absolute","absolute","abs","math.abs"
"numpy.add","add","","add","add","add","math.add"
"numpy.all","all","all","alltrue","","","reduce_all"
"numpy.allclose","allclose","allclose","allclose","","allclose",""
"numpy.amax","max","max","max","amax","","math.reduce_max"
"numpy.amin","min","min","min","amin","","math.reduce_min"
"numpy.any","any","any","sometrue","","","math.reduce_any"
"numpy.append","","","append","append","",""
"numpy.apply_along_axis","","apply_along_axis","","","",""
"numpy.apply_over_axes","","apply_over_axes","","","",""
"numpy.arccosh","arccosh","arccosh","arccosh","arccosh","","math.acosh"
"numpy.arcsinh","arcsinh","arcsinh","arcsinh","arcsinh","","math.asinh"
"numpy.arctanh","arctanh","arctanh","arctanh","arctanh","","math.atanh"
"numpy.argpartition","argpartition","","","argpartition","",""
"numpy.argsort","argsort","","argsort","argsort","argsort","argsort"
"numpy.argwhere","","argwhere","","argwhere","",""
"numpy.around","around","round","around","around","",""
"numpy.array2string","","","","array2string","",""
"numpy.array_equal","","","","","",""
"numpy.array_equiv","","","","","",""
"numpy.array_repr","array_repr","","array_repr","array_repr","",""
"numpy.array_split","array_split","","","array_split","",""
"numpy.array_str","array_str","","array_str","array_str","",""
"numpy.asanyarray","asanyarray","asanyarray","","asanyarray","",""
"numpy.asarray","asarray","asarray","asarray","asarray","","convert_to_tensor"
"numpy.asarray_chkfinite","","","","asarray_chkfinite","",""
"numpy.ascontiguousarray","ascontiguousarray","","","ascontiguousarray","",""
"numpy.asfarray","","","","asfarray","",""
"numpy.asfortranarray","asfortranarray","","","asfortranarray","",""
"numpy.asmatrix","","","","asmatrix","",""
"numpy.asscalar","","","","asscalar","",""
"numpy.atleast_1d","atleast_1d","atleast_1d","atleast_1d","atleast_1d","",""
"numpy.atleast_2d","atleast_2d","atleast_2d","atleast_2d","atleast_2d","",""
"numpy.atleast_3d","atleast_3d","atleast_3d","atleast_3d","atleast_3d","",""
"numpy.average","average","average","","average","",""
"numpy.bartlett","","","bartlett","","bartlett_window",""
"numpy.base_repr","base_repr","","","base_repr","",""
"numpy.binary_repr","binary_repr","","","binary_repr","",""
"numpy.bincount","bincount","bincount","","bincount","bincount","math.bincount"
"numpy.bitwise_and","bitwise_and","bitwise_and","bitwise_and","","bitwise_and","bitwise.bitwise_and"
"numpy.bitwise_or","bitwise_or","bitwise_or","bitwise_or","","bitwise_or","bitwise.bitwise_or"
"numpy.bitwise_xor","bitwise_xor","bitwise_xor","bitwise_xor","","bitwise_xor","bitwise.bitwise_xor"
"numpy.blackman","blackman","","blackman","","blackman_window",""
"numpy.block","","block","block","block","",""
"numpy.bmat","","","","bmat","",""
"numpy.broadcast_arrays","broadcast_arrays","broadcast_arrays","broadcast_arrays","broadcast_arrays","broadcast_tensors",""
"numpy.broadcast_to","broadcast_to","broadcast_to","broadcast_to","broadcast_to","","broadcast_to"
"numpy.busday_count","","","","","",""
"numpy.busday_offset","","","","","",""
"numpy.can_cast","can_cast","","can_cast","","can_cast",""
"numpy.cbrt","cbrt","","","cbrt","",""
"numpy.char.add","","","","","","strings.join"
"numpy.char.array","","","","core.defchararray.array","",""
"numpy.char.asarray","","","","core.defchararray.asarray","",""
"numpy.char.capitalize","","","","","",""
"numpy.char.center","","","","","",""
"numpy.char.count","","","","","",""
"numpy.char.decode","","","","","","strings.unicode_decode"
"numpy.char.encode","","","","","","strings.unicode_encode"
"numpy.char.endswith","","","","","",""
"numpy.char.equal","","","","","",""
"numpy.char.expandtabs","","","","","",""
"numpy.char.find","","","","","",""
"numpy.char.greater","","","","","",""
"numpy.char.greater_equal","","","","","",""
"numpy.char.index","","","","","",""
"numpy.char.isalnum","","","","","",""
"numpy.char.isalpha","","","","","",""
"numpy.char.isdecimal","","","","","",""
"numpy.char.isdigit","","","","","",""
"numpy.char.islower","","","","","",""
"numpy.char.isnumeric","","","","","",""
"numpy.char.isspace","","","","","",""
"numpy.char.istitle","","","","","",""
"numpy.char.isupper","","","","","",""
"numpy.char.join","","","","","",""
"numpy.char.less","","","","","",""
"numpy.char.less_equal","","","","","",""
"numpy.char.ljust","","","","","",""
"numpy.char.lower","","","","","",""
"numpy.char.lstrip","","","","","",""
"numpy.char.mod","","","","","",""
"numpy.char.multiply","","","","","",""
"numpy.char.not_equal","","","","","",""
"numpy.char.partition","","","","","",""
"numpy.char.replace","","","","","",""
"numpy.char.rfind","","","","","",""
"numpy.char.rindex","","","","","",""
"numpy.char.rjust","","","","","",""
"numpy.char.rpartition","","","","","",""
"numpy.char.rsplit","","","","","",""
"numpy.char.rstrip","","","","","",""
"numpy.char.split","","","","","","strings.split"
"numpy.char.splitlines","","","","","",""
