numpy,dask.array,matplotlib,pandas,skimage,xarray
"numpy.array","1","1","1","1","2"
"numpy.arange","2","2","2","5","1"
"numpy.zeros","9","4","5","2","6"
"numpy.reshape","5","7","3","6","3"
"numpy.sum","3","11","4","3","10"
"numpy.ones","4","12","7","4","5"
"numpy.linspace","19","3","16","11","4"
"numpy.mean","6","15","6","8","8"
"numpy.transpose","12","6","8","9","7"
"numpy.sin","23","5","22","14","11"
"numpy.concatenate","15","9","9","16","13"
"numpy.sqrt","24","13","11","7","32"
"numpy.std","8","-","12","12","20"
"numpy.cos","47","8","26","13","14"
"numpy.prod","7","40","13","39","19"
"numpy.where","17","28","10","24","17"
"numpy.cumsum","16","19","15","20","23"
"numpy.argmax","18","37","14","21","16"
"numpy.zeros_like","46","20","24","10","22"
"numpy.argmin","14","21","17","28","37"
"numpy.ceil","32","14","43","17","21"
"numpy.maximum","22","31","28","30","12"
"numpy.log","21","16","19","26","42"
"numpy.exp","42","18","20","18","29"
"numpy.full","49","23","25","19","18"
"numpy.eye","11","43","35","15","-"
"numpy.var","10","-","21","34","54"
"numpy.meshgrid","61","10","-","27","24"
"numpy.stack","30","24","-","23","15"
"numpy.einsum","20","-","-","50","9"
"numpy.ones_like","50","25","30","22","30"
"numpy.floor","57","17","34","29","40"
"numpy.minimum","28","35","29","38","25"
"numpy.squeeze","62","27","18","31","50"
"numpy.arctan2","25","22","-","33","36"
"numpy.sign","37","26","46","46","31"
"numpy.roll","59","33","36","25","47"
"numpy.real","36","32","45","32","45"
"numpy.cumprod","26","-","27","49","28"
"numpy.arcsin","54","36","31","48","34"
"numpy.arctan","55","42","32","44","35"
"numpy.angle","41","29","-","43","27"
"numpy.tensordot","31","45","-","53","26"
"numpy.square","29","44","-","40","49"
"numpy.arccos","53","41","37","-","33"
"numpy.imag","39","38","44","-","41"
"numpy.logaddexp","35","-","23","-","44"
"numpy.tan","52","34","41","-","51"
"numpy.tanh","38","-","42","47","52"
"numpy.cosh","33","-","33","-","38"
"numpy.linalg.norm","40","30","-","37","-"
"numpy.log1p","34","-","39","-","43"
"numpy.diagonal","13","-","-","-","-"
"numpy.expm1","48","-","38","-","39"
"numpy.sinh","51","-","40","-","48"
"numpy.diag","27","-","-","42","-"
"numpy.rint","58","-","-","52","46"
"numpy.linalg.inv","-","39","-","35","-"
"numpy.linalg.svd","44","-","-","36","-"
"numpy.conj","63","-","-","41","-"
"numpy.flip","56","-","-","51","-"
"numpy.trunc","60","-","-","-","53"
"numpy.linalg.qr","43","-","-","-","-"
"numpy.linalg.solve","-","-","-","45","-"
"numpy.matmul","45","-","-","-","-"
"numpy.trace","64","-","-","-","-"
"numpy.linalg.cholesky","-","-","-","-","-"
