name,numpy
"abs","numpy.absolute"
"absolute","numpy.absolute"
"add","numpy.add"
"all","numpy.all"
"allclose","numpy.allclose"
"alltrue","numpy.all"
"amax","numpy.amax"
"amin","numpy.amin"
"angle","numpy.angle"
"any","numpy.any"
"append","numpy.append"
"arange","numpy.arange"
"arccos","numpy.arccos"
"arccosh","numpy.arccosh"
"arcsin","numpy.arcsin"
"arcsinh","numpy.arcsinh"
"arctan","numpy.arctan"
"arctan2","numpy.arctan2"
"arctanh","numpy.arctanh"
"argmax","numpy.argmax"
"argmin","numpy.argmin"
"argsort","numpy.argsort"
"around","numpy.around"
"array","numpy.array"
"array_repr","numpy.array_repr"
"array_str","numpy.array_str"
"asarray","numpy.asarray"
"atleast_1d","numpy.atleast_1d"
"atleast_2d","numpy.atleast_2d"
"atleast_3d","numpy.atleast_3d"
"bartlett","numpy.bartlett"
"bitwise_and","numpy.bitwise_and"
"bitwise_not",""
"bitwise_or","numpy.bitwise_or"
"bitwise_xor","numpy.bitwise_xor"
"blackman","numpy.blackman"
"block","numpy.block"
"broadcast_arrays","numpy.broadcast_arrays"
"broadcast_to","numpy.broadcast_to"
"can_cast","numpy.can_cast"
"ceil","numpy.ceil"
"cholesky","numpy.linalg.cholesky"
"clip","numpy.clip"
"column_stack","numpy.column_stack"
"concatenate","numpy.concatenate"
"cond","numpy.linalg.cond"
"conj","numpy.conj"
"conjugate","numpy.conjugate"
"convolve","numpy.convolve"
"copysign","numpy.copysign"
"corrcoef","numpy.corrcoef"
"correlate","numpy.correlate"
"cos","numpy.cos"
"cosh","numpy.cosh"
"count_nonzero","numpy.count_nonzero"
"cov","numpy.cov"
"cross","numpy.cross"
"cumprod","numpy.cumprod"
"cumproduct","numpy.cumprod"
"cumsum","numpy.cumsum"
"deg2rad","numpy.deg2rad"
"degrees","numpy.degrees"
"det","numpy.linalg.det"
"diag","numpy.diag"
"diag_indices","numpy.diag_indices"
"diagonal","numpy.diagonal"
"divide","numpy.divide"
"divmod","numpy.divmod"
"dot","numpy.mod"
"dsplit","numpy.dsplit"
"dstack","numpy.dstack"
"eig","numpy.linalg.eig"
"eigh","numpy.linalg.eigh"
"eigvals","numpy.linalg.eigvals"
"eigvalsh","numpy.linalg.eigvalsh"
"einsum","numpy.einsum"
"empty","numpy.empty"
"empty_like","numpy.empty_like"
"equal","numpy.equal"
"exp","numpy.exp"
"exp2","numpy.exp2"
"expand_dims","numpy.expand_dims"
"expm1","numpy.expm1"
"eye","numpy.eye"
"fabs","numpy.fabs"
"fft","numpy.fft.fft"
"fft2","numpy.fft.fft2"
"fftfreq","numpy.fft.fftfreq"
"fftn","numpy.fft.fftn"
"fftshift","numpy.fft.fftshift"
"fix","numpy.fix"
"flip","numpy.flip"
"fliplr","numpy.fliplr"
"flipud","numpy.flipud"
"float_power","numpy.float_power"
"floor","numpy.floor"
"floor_divide","numpy.floor_divide"
"fmax","numpy.fmax"
"fmin","numpy.fmin"
"fmod","numpy.fmod"
"frexp","numpy.frexp"
"full","numpy.full"
"full_like","numpy.full_like"
"gcd","numpy.gcd"
"geomspace","numpy.geomspace"
"greater","numpy.greater"
"greater_equal","numpy.greater_equal"
"hamming","numpy.hamming"
"hanning","numpy.hanning"
"heaviside","numpy.heaviside"
"hsplit","numpy.hsplit"
"hstack","numpy.hstack"
"hypot","numpy.hypot"
"identity","numpy.identity"
"ifft","numpy.fft.ifft"
"ifft2","numpy.fft.ifft2"
"ifftn","numpy.fft.ifftn"
"ifftshift","numpy.fft.ifftshift"
"imag","numpy.imag"
"inner","numpy.inner"
"inv","numpy.linalg.inv"
"irfft","numpy.fft.irfft"
"irfft2","numpy.fft.irfft2"
"irfftn","numpy.fft.irfftn"
"isclose","numpy.isclose"
"iscomplex","numpy.iscomplex"
"isfinite","numpy.isfinite"
"isinf","numpy.isinf"
"isnan","numpy.isnan"
"isneginf","numpy.isneginf"
"isposinf","numpy.isposinf"
"isreal","numpy.isreal"
"isscalar","numpy.isscalar"
"issubdtype","numpy.issubdtype"
"issubsctype","numpy.issubsctype"
"ix_","numpy.ix_"
"kaiser","numpy.kaiser"
"kron","numpy.kron"
"lcm","numpy.lcm"
"ldexp","numpy.ldexp"
"left_shift","numpy.left_shift"
"less","numpy.less"
"less_equal","numpy.less_equal"
"linspace","numpy.linspace"
"log","numpy.log"
"log10","numpy.log10"
"log1p","numpy.log1p"
"log2","numpy.log2"
"logaddexp","numpy.logaddexp"
"logaddexp2","numpy.logaddexp2"
"logical_and","numpy.logical_and"
"logical_not","numpy.logical_not"
"logical_or","numpy.logical_or"
"logical_xor","numpy.logical_xor"
"logspace","numpy.logspace"
"matmul","numpy.matmul"
"matrix_power","numpy.linalg.matrix_power"
"matrix_rank","numpy.linalg.matrix_rank"
"max","numpy.amax"
"maximum","numpy.maximum"
"mean","numpy.mean"
"median","numpy.median"
"meshgrid","numpy.meshgrid"
"min","numpy.amin"
"minimum","numpy.minimum"
"mod","numpy.mod"
"moveaxis","numpy.moveaxis"
"msort","numpy.msort"
"multi_dot","numpy.linalg.multi_dot"
"multiply","numpy.multiply"
"nan_to_num","numpy.nan_to_num"
"nancumprod","numpy.nancumprod"
"nancumsum","numpy.nancumsum"
"nanmax","numpy.nanmax"
"nanmin","numpy.nanmin"
"nanprod","numpy.nanprod"
"nansum","numpy.nansum"
"negative","numpy.negative"
"nextafter","numpy.nextafter"
"nonzero","numpy.nonzero"
"norm","numpy.linalg.norm"
"not_equal","numpy.not_equal"
"ones","numpy.ones"
"ones_like","numpy.ones_like"
"outer","numpy.outer"
"packbits","numpy.packbits"
"pad","numpy.pad"
"percentile","numpy.percentile"
"pinv","numpy.linalg.pinv"
"polyval","numpy.polyval"
"positive","numpy.positive"
"power","numpy.power"
"prod","numpy.prod"
"product","numpy.prod"
"promote_types","numpy.promote_types"
"ptp","numpy.ptp"
"qr","numpy.linalg.qr"
"quantile","numpy.quantile"
"rad2deg","numpy.rad2deg"
"radians","numpy.radians"
"ravel","numpy.ravel"
"real","numpy.real"
