numpy,cupy,dask.array,jax,mxnet,pytorch,rnumpy,sparse
"numpy.absolute","absolute","","absolute","absolute","abs","",""
"numpy.add","add","","add","add","add","add",""
"numpy.all","all","all","alltrue","","","all",""
"numpy.allclose","allclose","allclose","allclose","","allclose","allclose",""
"numpy.amax","max","max","max","amax","","",""
"numpy.amin","min","min","min","amin","","",""
"numpy.angle","angle","angle","angle","angle","angle","",""
"numpy.any","any","any","sometrue","","","any",""
"numpy.append","","","append","append","","",""
"numpy.apply_along_axis","","apply_along_axis","","","","",""
"numpy.apply_over_axes","","apply_over_axes","","","","",""
"numpy.arange","arange","arange","arange","arange","range","arange",""
"numpy.arccos","arccos","arccos","arccos","arccos","acos","arccos",""
"numpy.arccosh","arccosh","arccosh","arccosh","arccosh","","arccosh",""
"numpy.arcsin","arcsin","arcsin","arcsin","arcsin","asin","arcsin",""
"numpy.arcsinh","arcsinh","arcsinh","arcsinh","arcsinh","","arcsinh",""
"numpy.arctan","arctan","arctan","arctan","arctan","atan","arctan",""
"numpy.arctan2","arctan2","arctan2","arctan2","arctan2","atan2","arctan2",""
"numpy.arctanh","arctanh","arctanh","arctanh","arctanh","","arctanh",""
"numpy.argmax","argmax","argmax","argmax","argmax","argmax","argmax",""
"numpy.argmin","argmin","argmin","argmin","argmin","argmin","argmin",""
"numpy.argpartition","argpartition","","","argpartition","","",""
"numpy.argsort","argsort","","argsort","argsort","argsort","argsort",""
"numpy.argwhere","","argwhere","","argwhere","","","argwhere"
"numpy.around","around","round","around","around","","",""
"numpy.array","array","array","array","array","tensor","array",""
"numpy.array2string","","","","array2string","","",""
"numpy.array_equal","","","","","","",""
"numpy.array_equiv","","","","","","",""
"numpy.array_repr","array_repr","","array_repr","array_repr","","",""
"numpy.array_split","array_split","","","array_split","","",""
"numpy.array_str","array_str","","array_str","array_str","","",""
"numpy.asanyarray","asanyarray","asanyarray","","asanyarray","","asanyarray",""
"numpy.asarray","asarray","asarray","asarray","asarray","","asarray",""
"numpy.asarray_chkfinite","","","","asarray_chkfinite","","",""
"numpy.ascontiguousarray","ascontiguousarray","","","ascontiguousarray","","",""
"numpy.asfarray","","","","asfarray","","",""
"numpy.asfortranarray","asfortranarray","","","asfortranarray","","",""
"numpy.asmatrix","","","","asmatrix","","",""
"numpy.asscalar","","","","asscalar","","",""
