name,numpy
"cupy.absolute","numpy.absolute"
"cupy.add","numpy.add"
"cupy.all","numpy.all"
"cupy.allclose","numpy.allclose"
"cupy.amax","numpy.amax"
"cupy.amin","numpy.amin"
"cupy.angle","numpy.angle"
"cupy.any","numpy.any"
"cupy.append","numpy.append"
"cupy.apply_along_axis","numpy.apply_along_axis"
"cupy.arange","numpy.arange"
"cupy.arccos","numpy.arccos"
"cupy.arccosh","numpy.arccosh"
"cupy.arcsin","numpy.arcsin"
"cupy.arcsinh","numpy.arcsinh"
"cupy.arctan","numpy.arctan"
"cupy.arctan2","numpy.arctan2"
"cupy.arctanh","numpy.arctanh"
"cupy.argmax","numpy.argmax"
"cupy.argmin","numpy.argmin"
"cupy.argpartition","numpy.argpartition"
"cupy.argsort","numpy.argsort"
"cupy.argwhere","numpy.argwhere"
"cupy.around","numpy.around"
"cupy.array","numpy.array"
"cupy.array_equal","numpy.array_equal"
"cupy.array_repr","numpy.array_repr"
"cupy.array_split","numpy.array_split"
"cupy.array_str","numpy.array_str"
"cupy.asanyarray","numpy.asanyarray"
"cupy.asarray","numpy.asarray"
"cupy.ascontiguousarray","numpy.ascontiguousarray"
"cupy.asfortranarray","numpy.asfortranarray"
"cupy.asnumpy",""
"cupy.atleast_1d","numpy.atleast_1d"
"cupy.atleast_2d","numpy.atleast_2d"
"cupy.atleast_3d","numpy.atleast_3d"
"cupy.average","numpy.average"
"cupy.bartlett","numpy.bartlett"
"cupy.base_repr","numpy.base_repr"
"cupy.binary_repr","numpy.binary_repr"
"cupy.bincount","numpy.bincount"
"cupy.bitwise_and","numpy.bitwise_and"
"cupy.bitwise_or","numpy.bitwise_or"
"cupy.bitwise_xor","numpy.bitwise_xor"
"cupy.blackman","numpy.blackman"
"cupy.broadcast_arrays","numpy.broadcast_arrays"
"cupy.broadcast_to","numpy.broadcast_to"
"cupy.can_cast","numpy.can_cast"
"cupy.cbrt","numpy.cbrt"
"cupy.ceil","numpy.ceil"
"cupy.clear_memo",""
"cupy.clip","numpy.clip"
"cupy.column_stack","numpy.column_stack"
"cupy.common_type","numpy.common_type"
"cupy.compress","numpy.compress"
"cupy.concatenate","numpy.concatenate"
"cupy.conj","numpy.conj"
"cupy.conjugate","numpy.conjugate"
"cupy.convolve","numpy.convolve"
"cupy.copy","numpy.copy"
"cupy.copysign","numpy.copysign"
"cupy.copyto","numpy.copyto"
"cupy.corrcoef","numpy.corrcoef"
"cupy.correlate","numpy.correlate"
"cupy.cos","numpy.cos"
"cupy.cosh","numpy.cosh"
"cupy.count_nonzero","numpy.count_nonzero"
"cupy.cov","numpy.cov"
"cupy.cross","numpy.cross"
"cupy.cumprod","numpy.cumprod"
"cupy.cumsum","numpy.cumsum"
"cupy.deg2rad","numpy.deg2rad"
"cupy.degrees","numpy.degrees"
"cupy.diag","numpy.diag"
"cupy.diag_indices","numpy.diag_indices"
"cupy.diag_indices_from","numpy.diag_indices_from"
"cupy.diagflat","numpy.diagflat"
"cupy.diagonal","numpy.diagonal"
"cupy.diff","numpy.diff"
"cupy.digitize","numpy.digitize"
"cupy.divide","numpy.divide"
"cupy.dot","numpy.dot"
"cupy.dsplit","numpy.dsplit"
"cupy.dstack","numpy.dstack"
"cupy.einsum","numpy.einsum"
"cupy.empty","numpy.empty"
"cupy.empty_like","numpy.empty_like"
"cupy.equal","numpy.equal"
"cupy.exp","numpy.exp"
"cupy.exp2","numpy.exp2"
"cupy.expand_dims","numpy.expand_dims"
"cupy.expm1","numpy.expm1"
"cupy.extract","numpy.extract"
"cupy.eye","numpy.eye"
"cupy.fft.config.get_plan_cache",""
"cupy.fft.config.set_cufft_gpus",""
"cupy.fft.config.show_plan_cache_info",""
"cupy.fft.fft","numpy.fft.fft"
"cupy.fft.fft2","numpy.fft.fft2"
"cupy.fft.fftfreq","numpy.fft.fftfreq"
"cupy.fft.fftn","numpy.fft.fftn"
"cupy.fft.fftshift","numpy.fft.fftshift"
"cupy.fft.hfft","numpy.fft.hfft"
"cupy.fft.ifft","numpy.fft.ifft"
"cupy.fft.ifft2","numpy.fft.ifft2"
"cupy.fft.ifftn","numpy.fft.ifftn"
"cupy.fft.ifftshift","numpy.fft.ifftshift"
"cupy.fft.ihfft","numpy.fft.ihfft"
"cupy.fft.irfft","numpy.fft.irfft"
"cupy.fft.irfft2","numpy.fft.irfft2"
"cupy.fft.irfftn","numpy.fft.irfftn"
"cupy.fft.rfft","numpy.fft.rfft"
"cupy.fft.rfft2","numpy.fft.rfft2"
"cupy.fft.rfftfreq","numpy.fft.rfftfreq"
"cupy.fft.rfftn","numpy.fft.rfftn"
"cupy.fill_diagonal","numpy.fill_diagonal"
"cupy.fix","numpy.fix"
"cupy.flatnonzero","numpy.flatnonzero"
"cupy.flip","numpy.flip"
"cupy.fliplr","numpy.fliplr"
"cupy.flipud","numpy.flipud"
"cupy.floor","numpy.floor"
"cupy.floor_divide","numpy.floor_divide"
"cupy.fmax","numpy.fmax"
"cupy.fmin","numpy.fmin"
"cupy.fmod","numpy.fmod"
"cupy.frexp","numpy.frexp"
"cupy.fromDlpack",""
"cupy.fromfile","numpy.fromfile"
"cupy.full","numpy.full"
"cupy.full_like","numpy.full_like"
"cupy.fuse",""
"cupy.gcd","numpy.gcd"
"cupy.get_array_module",""
"cupy.get_default_memory_pool",""
"cupy.get_default_pinned_memory_pool",""
"cupy.gradient","numpy.gradient"
"cupy.greater","numpy.greater"
"cupy.greater_equal","numpy.greater_equal"
"cupy.hamming","numpy.hamming"
"cupy.hanning","numpy.hanning"
"cupy.histogram","numpy.histogram"
"cupy.histogram2d","numpy.histogram2d"
"cupy.histogramdd","numpy.histogramdd"
"cupy.hsplit","numpy.hsplit"
"cupy.hstack","numpy.hstack"
"cupy.hypot","numpy.hypot"
"cupy.i0","numpy.i0"
"cupy.identity","numpy.identity"
"cupy.imag","numpy.imag"
"cupy.in1d","numpy.in1d"
"cupy.indices","numpy.indices"
"cupy.inner","numpy.inner"
"cupy.interp","numpy.interp"
"cupy.invert","numpy.invert"
"cupy.isclose","numpy.isclose"
"cupy.iscomplex","numpy.iscomplex"
"cupy.iscomplexobj","numpy.iscomplexobj"
"cupy.isfinite","numpy.isfinite"
"cupy.isfortran","numpy.isfortran"
"cupy.isin","numpy.isin"
"cupy.isinf","numpy.isinf"
"cupy.isnan","numpy.isnan"
"cupy.isreal","numpy.isreal"
"cupy.isrealobj","numpy.isrealobj"
"cupy.isscalar","numpy.isscalar"
"cupy.ix_","numpy.ix_"
"cupy.kaiser","numpy.kaiser"
"cupy.kron","numpy.kron"
