name,numpy
"abs","numpy.abs"
"absolute","numpy.absolute"
"add","numpy.add"
"all","numpy.all"
"allclose","numpy.allclose"
"alltrue","numpy.all"
"amax","numpy.amax"
"amin","numpy.amin"
"angle","numpy.angle"
"any","numpy.any"
"append","numpy.append"
"apply_along_axis","numpy.apply_along_axis"
"apply_over_axes","numpy.apply_over_axes"
"arange","numpy.arange"
"arccos","numpy.arccos"
"arccosh","numpy.arccosh"
"arcsin","numpy.arcsin"
"arcsinh","numpy.arcsinh"
"arctan","numpy.arctan"
"arctan2","numpy.arctan2"
"arctanh","numpy.arctanh"
"argmax","numpy.argmax"
"argmin","numpy.argmin"
"argsort","numpy.argsort"
"argwhere","numpy.argwhere"
"around","numpy.around"
"array","numpy.array"
"array_equal","numpy.array_equal"
"array_equiv","numpy.array_equiv"
"array_repr","numpy.array_repr"
"array_split","numpy.array_split"
"array_str","numpy.array_str"
"asarray","numpy.asarray"
"atleast_1d","numpy.atleast_1d"
"atleast_2d","numpy.atleast_2d"
"atleast_3d","numpy.atleast_3d"
"average","numpy.average"
"bartlett","numpy.bartlett"
"bincount","numpy.bincount"
"bitwise_and","numpy.bitwise_and"
"bitwise_not",""
"bitwise_or","numpy.bitwise_or"
"bitwise_xor","numpy.bitwise_xor"
"blackman","numpy.blackman"
"block","numpy.block"
"bool_",""
"broadcast_arrays","numpy.broadcast_arrays"
"broadcast_shapes","numpy.broadcast_shapes"
"broadcast_to","numpy.broadcast_to"
"c_",""
"can_cast","numpy.can_cast"
"cbrt","numpy.cbrt"
"cdouble",""
"ceil","numpy.ceil"
"character",""
"cholesky","numpy.linalg.cholesky"
"choose","numpy.choose"
"clip","numpy.clip"
"column_stack","numpy.column_stack"
"complex128",""
"complex64",""
"complex_",""
"complexfloating",""
"compress","numpy.compress"
"concatenate","numpy.concatenate"
"cond","numpy.linalg.cond"
"conj","numpy.conj"
"conjugate","numpy.conjugate"
"convolve","numpy.convolve"
"copysign","numpy.copysign"
"corrcoef","numpy.corrcoef"
"correlate","numpy.correlate"
"cos","numpy.cos"
"cosh","numpy.cosh"
"count_nonzero","numpy.count_nonzero"
"cov","numpy.cov"
"cross","numpy.cross"
"csingle",""
"cumprod","numpy.cumprod"
"cumproduct","numpy.cumprod"
"cumsum","numpy.cumsum"
"deg2rad","numpy.deg2rad"
"degrees","numpy.degrees"
"delete","numpy.delete"
"det","numpy.linalg.det"
"diag","numpy.diag"
"diag_indices","numpy.diag_indices"
"diag_indices_from","numpy.diag_indices_from"
"diagflat","numpy.diagflat"
"diagonal","numpy.diagonal"
"diff","numpy.diff"
"digitize","numpy.digitize"
"divide","numpy.divide"
"divmod","numpy.divmod"
"dot","numpy.dot"
"double",""
"dsplit","numpy.dsplit"
"dstack","numpy.dstack"
"dtype",""
"ediff1d","numpy.ediff1d"
"eig","numpy.linalg.eig"
"eigh","numpy.linalg.eigh"
"eigvals","numpy.linalg.eigvals"
"eigvalsh","numpy.linalg.eigvalsh"
"einsum","numpy.einsum"
"einsum_path","numpy.einsum_path"
"empty","numpy.empty"
"empty_like","numpy.empty_like"
"equal","numpy.equal"
"exp","numpy.exp"
"exp2","numpy.exp2"
"expand_dims","numpy.expand_dims"
"expm1","numpy.expm1"
"extract","numpy.extract"
"eye","numpy.eye"
"fabs","numpy.fabs"
"fft","numpy.fft.fft"
"fft2","numpy.fft.fft2"
