name,numpy
"cupy.ndarray","numpy.ndarray"
"cupy.ndarray.__abs__","numpy.ndarray.__abs__"
"cupy.ndarray.__add__","numpy.ndarray.__add__"
"cupy.ndarray.__and__","numpy.ndarray.__and__"
"cupy.ndarray.__complex__","numpy.ndarray.__complex__"
"cupy.ndarray.__copy__","numpy.ndarray.__copy__"
"cupy.ndarray.__deepcopy__","numpy.ndarray.__deepcopy__"
"cupy.ndarray.__div__",""
"cupy.ndarray.__divmod__","numpy.ndarray.__divmod__"
"cupy.ndarray.__eq__","numpy.ndarray.__eq__"
"cupy.ndarray.__float__","numpy.ndarray.__float__"
"cupy.ndarray.__floordiv__","numpy.ndarray.__floordiv__"
"cupy.ndarray.__ge__","numpy.ndarray.__ge__"
"cupy.ndarray.__getitem__","numpy.ndarray.__getitem__"
"cupy.ndarray.__gt__","numpy.ndarray.__gt__"
"cupy.ndarray.__hex__",""
"cupy.ndarray.__iadd__","numpy.ndarray.__iadd__"
"cupy.ndarray.__iand__","numpy.ndarray.__iand__"
"cupy.ndarray.__idiv__",""
"cupy.ndarray.__ifloordiv__","numpy.ndarray.__ifloordiv__"
"cupy.ndarray.__ilshift__","numpy.ndarray.__ilshift__"
"cupy.ndarray.__imod__","numpy.ndarray.__imod__"
"cupy.ndarray.__imul__","numpy.ndarray.__imul__"
"cupy.ndarray.__int__","numpy.ndarray.__int__"
"cupy.ndarray.__invert__","numpy.ndarray.__invert__"
"cupy.ndarray.__ior__","numpy.ndarray.__ior__"
"cupy.ndarray.__ipow__","numpy.ndarray.__ipow__"
"cupy.ndarray.__irshift__","numpy.ndarray.__irshift__"
"cupy.ndarray.__isub__","numpy.ndarray.__isub__"
"cupy.ndarray.__iter__","numpy.ndarray.__iter__"
"cupy.ndarray.__itruediv__","numpy.ndarray.__itruediv__"
"cupy.ndarray.__ixor__","numpy.ndarray.__ixor__"
"cupy.ndarray.__le__","numpy.ndarray.__le__"
"cupy.ndarray.__len__","numpy.ndarray.__len__"
"cupy.ndarray.__lshift__","numpy.ndarray.__lshift__"
"cupy.ndarray.__lt__","numpy.ndarray.__lt__"
"cupy.ndarray.__matmul__","numpy.ndarray.__matmul__"
"cupy.ndarray.__mod__","numpy.ndarray.__mod__"
"cupy.ndarray.__mul__","numpy.ndarray.__mul__"
"cupy.ndarray.__ne__","numpy.ndarray.__ne__"
"cupy.ndarray.__neg__","numpy.ndarray.__neg__"
"cupy.ndarray.__nonzero__",""
"cupy.ndarray.__oct__",""
"cupy.ndarray.__or__","numpy.ndarray.__or__"
"cupy.ndarray.__pos__","numpy.ndarray.__pos__"
"cupy.ndarray.__pow__","numpy.ndarray.__pow__"
"cupy.ndarray.__repr__","numpy.ndarray.__repr__"
"cupy.ndarray.__rshift__","numpy.ndarray.__rshift__"
"cupy.ndarray.__setitem__","numpy.ndarray.__setitem__"
"cupy.ndarray.__str__","numpy.ndarray.__str__"
"cupy.ndarray.__sub__","numpy.ndarray.__sub__"
"cupy.ndarray.__truediv__","numpy.ndarray.__truediv__"
"cupy.ndarray.__xor__","numpy.ndarray.__xor__"
"cupy.ndarray.all","numpy.ndarray.all"
"cupy.ndarray.any","numpy.ndarray.any"
"cupy.ndarray.argmax","numpy.ndarray.argmax"
"cupy.ndarray.argmin","numpy.ndarray.argmin"
"cupy.ndarray.argpartition","numpy.ndarray.argpartition"
"cupy.ndarray.argsort","numpy.ndarray.argsort"
"cupy.ndarray.astype","numpy.ndarray.astype"
"cupy.ndarray.base","numpy.ndarray.base"
"cupy.ndarray.choose","numpy.ndarray.choose"
"cupy.ndarray.clip","numpy.ndarray.clip"
"cupy.ndarray.compress","numpy.ndarray.compress"
"cupy.ndarray.conj","numpy.ndarray.conj"
"cupy.ndarray.conjugate","numpy.ndarray.conj"
"cupy.ndarray.copy","numpy.ndarray.copy"
"cupy.ndarray.cstruct",""
"cupy.ndarray.cumprod","numpy.ndarray.cumprod"
"cupy.ndarray.cumsum","numpy.ndarray.cumsum"
"cupy.ndarray.data","numpy.ndarray.data"
"cupy.ndarray.device",""
"cupy.ndarray.diagonal","numpy.ndarray.diagonal"
"cupy.ndarray.dot","numpy.ndarray.dot"
"cupy.ndarray.dtype","numpy.ndarray.dtype"
"cupy.ndarray.dump","numpy.ndarray.dump"
"cupy.ndarray.dumps","numpy.ndarray.dumps"
"cupy.ndarray.fill","numpy.ndarray.fill"
"cupy.ndarray.flag",""
"cupy.ndarray.flags","numpy.ndarray.flags"
"cupy.ndarray.flatten","numpy.ndarray.flatten"
"cupy.ndarray.get",""
"cupy.ndarray.imag","numpy.ndarray.imag"
"cupy.ndarray.item","numpy.ndarray.item"
"cupy.ndarray.itemsize","numpy.ndarray.itemsize"
"cupy.ndarray.max","numpy.ndarray.max"
"cupy.ndarray.mean","numpy.ndarray.mean"
"cupy.ndarray.min","numpy.ndarray.min"
"cupy.ndarray.nbytes","numpy.ndarray.nbytes"
"cupy.ndarray.ndim","numpy.ndarray.ndim"
"cupy.ndarray.nonzero","numpy.ndarray.nonzero"
