name,numpy
"jax.ndarray","numpy.ndarray"
"jax.ndarray.__abs__","numpy.ndarray.__abs__"
"jax.ndarray.__add__","numpy.ndarray.__add__"
"jax.ndarray.__and__","numpy.ndarray.__and__"
"jax.ndarray.__array__","numpy.ndarray.__array__"
"jax.ndarray.__array_module__",""
"jax.ndarray.__array_priority__","numpy.ndarray.__array_priority__"
"jax.ndarray.__bool__","numpy.ndarray.__bool__"
"jax.ndarray.__class__","numpy.ndarray.__class__"
"jax.ndarray.__complex__","numpy.ndarray.__complex__"
"jax.ndarray.__cuda_array_interface__",""
"jax.ndarray.__delattr__","numpy.ndarray.__delattr__"
"jax.ndarray.__dir__","numpy.ndarray.__dir__"
"jax.ndarray.__div__",""
"jax.ndarray.__divmod__","numpy.ndarray.__divmod__"
"jax.ndarray.__doc__","numpy.ndarray.__doc__"
"jax.ndarray.__eq__","numpy.ndarray.__eq__"
"jax.ndarray.__float__","numpy.ndarray.__float__"
"jax.ndarray.__floordiv__","numpy.ndarray.__floordiv__"
"jax.ndarray.__format__","numpy.ndarray.__format__"
"jax.ndarray.__ge__","numpy.ndarray.__ge__"
"jax.ndarray.__getattribute__","numpy.ndarray.__getattribute__"
"jax.ndarray.__getitem__","numpy.ndarray.__getitem__"
"jax.ndarray.__gt__","numpy.ndarray.__gt__"
"jax.ndarray.__hash__","numpy.ndarray.__hash__"
"jax.ndarray.__hex__",""
"jax.ndarray.__index__","numpy.ndarray.__index__"
"jax.ndarray.__init__","numpy.ndarray.__init__"
"jax.ndarray.__init_subclass__","numpy.ndarray.__init_subclass__"
"jax.ndarray.__int__","numpy.ndarray.__int__"
"jax.ndarray.__invert__","numpy.ndarray.__invert__"
"jax.ndarray.__iter__","numpy.ndarray.__iter__"
"jax.ndarray.__le__","numpy.ndarray.__le__"
"jax.ndarray.__len__","numpy.ndarray.__len__"
"jax.ndarray.__lshift__","numpy.ndarray.__lshift__"
"jax.ndarray.__lt__","numpy.ndarray.__lt__"
"jax.ndarray.__matmul__","numpy.ndarray.__matmul__"
"jax.ndarray.__mod__","numpy.ndarray.__mod__"
"jax.ndarray.__module__",""
"jax.ndarray.__mul__","numpy.ndarray.__mul__"
"jax.ndarray.__ne__","numpy.ndarray.__ne__"
"jax.ndarray.__neg__","numpy.ndarray.__neg__"
"jax.ndarray.__new__","numpy.ndarray.__new__"
"jax.ndarray.__nonzero__",""
"jax.ndarray.__oct__",""
"jax.ndarray.__or__","numpy.ndarray.__or__"
"jax.ndarray.__pos__","numpy.ndarray.__pos__"
"jax.ndarray.__pow__","numpy.ndarray.__pow__"
"jax.ndarray.__radd__","numpy.ndarray.__radd__"
"jax.ndarray.__rand__","numpy.ndarray.__rand__"
"jax.ndarray.__rdiv__",""
"jax.ndarray.__rdivmod__","numpy.ndarray.__rdivmod__"
"jax.ndarray.__reduce__","numpy.ndarray.__reduce__"
"jax.ndarray.__reduce_ex",""
"jax.ndarray.__repr__","numpy.ndarray.__repr__"
"jax.ndarray.__reversed__",""
"jax.ndarray.__rfloordiv__","numpy.ndarray.__rfloordiv__"
"jax.ndarray.__rlshift__","numpy.ndarray.__rlshift__"
"jax.ndarray.__rmatmul__","numpy.ndarray.__rmatmul__"
"jax.ndarray.__rmod__","numpy.ndarray.__rmod__"
"jax.ndarray.__rmul__","numpy.ndarray.__rmul__"
"jax.ndarray.__ror__","numpy.ndarray.__ror__"
"jax.ndarray.__round__",""
"jax.ndarray.__rpow__","numpy.ndarray.__rpow__"
"jax.ndarray.__rrshift__","numpy.ndarray.__rrshift__"
"jax.ndarray.__rshift__","numpy.ndarray.__rshift__"
"jax.ndarray.__rsub__","numpy.ndarray.__rsub__"
"jax.ndarray.__rtruediv__","numpy.ndarray.__rtruediv__"
"jax.ndarray.__rxor__","numpy.ndarray.__rxor__"
"jax.ndarray.__setattr__",""
"jax.ndarray.__setitem__","numpy.ndarray.__setitem__"
"jax.ndarray.__sizeof__","numpy.ndarray.__sizeof__"
"jax.ndarray.__slots__",""
"jax.ndarray.__str__","numpy.ndarray.__str__"
"jax.ndarray.__sub__","numpy.ndarray.__sub__"
"jax.ndarray.__subclasshook__","numpy.ndarray.__subclasshook__"
"jax.ndarray.__truediv__","numpy.ndarray.__truediv__"
"jax.ndarray.__weakref__",""
"jax.ndarray.__xor__","numpy.ndarray.__xor__"
"jax.ndarray.all","numpy.ndarray.all"
"jax.ndarray.any","numpy.ndarray.any"
"jax.ndarray.argmax","numpy.ndarray.argmax"
"jax.ndarray.argmin","numpy.ndarray.argmin"
"jax.ndarray.argpartition","numpy.ndarray.argpartition"
"jax.ndarray.argsort","numpy.ndarray.argsort"
"jax.ndarray.astype","numpy.ndarray.astype"
"jax.ndarray.at",""
"jax.ndarray.aval",""
"jax.ndarray.block_until_ready",""
"jax.ndarray.broadcast",""
"jax.ndarray.broadcast_in_dim",""
"jax.ndarray.choose","numpy.ndarray.choose"
"jax.ndarray.clip","numpy.ndarray.clip"
"jax.ndarray.compress","numpy.ndarray.compress"
"jax.ndarray.conj","numpy.ndarray.conj"
"jax.ndarray.conjugate","numpy.ndarray.conj"
"jax.ndarray.copy","numpy.ndarray.copy"
"jax.ndarray.copy_to_host_async",""
"jax.ndarray.cumprod","numpy.ndarray.cumprod"
"jax.ndarray.cumsum","numpy.ndarray.cumsum"
"jax.ndarray.delete",""
"jax.ndarray.device_buffer",""
"jax.ndarray.diagonal","numpy.ndarray.diagonal"
"jax.ndarray.dot","numpy.ndarray.dot"
"jax.ndarray.dtype","numpy.ndarray.dtype"
"jax.ndarray.flatten","numpy.ndarray.flatten"
"jax.ndarray.imag","numpy.ndarray.imag"
"jax.ndarray.item","numpy.ndarray.item"
"jax.ndarray.max","numpy.ndarray.max"
"jax.ndarray.mean","numpy.ndarray.mean"
"jax.ndarray.min","numpy.ndarray.min"
