name,numpy
"sparse.COO","numpy.ndarray"
"sparse.COO.__abs__","numpy.ndarray.__abs__"
"sparse.COO.__add__","numpy.ndarray.__add__"
"sparse.COO.__and__","numpy.ndarray.__and__"
"sparse.COO.__array__","numpy.ndarray.__array__"
"sparse.COO.__array_function__","numpy.ndarray.__array_function__"
"sparse.COO.__array_priority__","numpy.ndarray.__array_priority__"
"sparse.COO.__array_ufunc__","numpy.ndarray.__array_ufunc__"
"sparse.COO.__class__","numpy.ndarray.__class__"
"sparse.COO.__dask_tokenize__",""
"sparse.COO.__delattr__","numpy.ndarray.__delattr__"
"sparse.COO.__dict__",""
"sparse.COO.__dir__","numpy.ndarray.__dir__"
"sparse.COO.__divmod__","numpy.ndarray.__divmod__"
"sparse.COO.__doc__","numpy.ndarray.__doc__"
"sparse.COO.__eq__","numpy.ndarray.__eq__"
"sparse.COO.__floordiv__","numpy.ndarray.__floordiv__"
"sparse.COO.__format__","numpy.ndarray.__format__"
"sparse.COO.__ge__","numpy.ndarray.__ge__"
"sparse.COO.__getattribute__","numpy.ndarray.__getattribute__"
"sparse.COO.__getitem__","numpy.ndarray.__getitem__"
"sparse.COO.__getstate__",""
"sparse.COO.__gt__","numpy.ndarray.__gt__"
"sparse.COO.__hash__","numpy.ndarray.__hash__"
"sparse.COO.__iadd__","numpy.ndarray.__iadd__"
"sparse.COO.__iand__","numpy.ndarray.__iand__"
"sparse.COO.__ifloordiv__","numpy.ndarray.__ifloordiv__"
"sparse.COO.__ilshift__","numpy.ndarray.__ilshift__"
"sparse.COO.__imatmul__","numpy.ndarray.__imatmul__"
"sparse.COO.__imod__","numpy.ndarray.__imod__"
"sparse.COO.__imul__","numpy.ndarray.__imul__"
"sparse.COO.__init__","numpy.ndarray.__init__"
"sparse.COO.__init_subclass__","numpy.ndarray.__init_subclass__"
"sparse.COO.__invert__","numpy.ndarray.__invert__"
"sparse.COO.__ior__","numpy.ndarray.__ior__"
"sparse.COO.__ipow__","numpy.ndarray.__ipow__"
