name,numpy
"tf.Tensor","numpy.ndarray"
"tf.Tensor.__abs__","numpy.ndarray.__abs__"
"tf.Tensor.__add__","numpy.ndarray.__add__"
"tf.Tensor.__and__","numpy.ndarray.__and__"
"tf.Tensor.__bool__","numpy.ndarray.__bool__"
"tf.Tensor.__div__",""
"tf.Tensor.__eq__","numpy.ndarray.__eq__"
"tf.Tensor.__floordiv__","numpy.ndarray.__floordiv__"
"tf.Tensor.__ge__","numpy.ndarray.__ge__"
"tf.Tensor.__getitem__","numpy.ndarray.__getitem__"
"tf.Tensor.__gt__","numpy.ndarray.__gt__"
"tf.Tensor.__invert__","numpy.ndarray.__invert__"
"tf.Tensor.__iter__","numpy.ndarray.__iter__"
"tf.Tensor.__le__","numpy.ndarray.__le__"
"tf.Tensor.__len__","numpy.ndarray.__len__"
"tf.Tensor.__lt__","numpy.ndarray.__lt__"
"tf.Tensor.__matmul__","numpy.ndarray.__matmul__"
"tf.Tensor.__mod__","numpy.ndarray.__mod__"
"tf.Tensor.__mul__","numpy.ndarray.__mul__"
"tf.Tensor.__ne__","numpy.ndarray.__ne__"
"tf.Tensor.__neg__","numpy.ndarray.__neg__"
"tf.Tensor.__nonzero__",""
"tf.Tensor.__or__","numpy.ndarray.__or__"
"tf.Tensor.__pow__","numpy.ndarray.__pow__"
"tf.Tensor.__radd__","numpy.ndarray.__radd__"
"tf.Tensor.__rand__","numpy.ndarray.__rand__"
"tf.Tensor.__rdiv__",""
"tf.Tensor.__rfloordiv__","numpy.ndarray.__rfloordiv__"
"tf.Tensor.__rmatmul__","numpy.ndarray.__rmatmul__"
"tf.Tensor.__rmod__","numpy.ndarray.__rmod__"
"tf.Tensor.__rmul__","numpy.ndarray.__rmul__"
"tf.Tensor.__ror__","numpy.ndarray.__ror__"
"tf.Tensor.__rpow__","numpy.ndarray.__rpow__"
"tf.Tensor.__rtruediv__","numpy.ndarray.__rtruediv__"
"tf.Tensor.__rxor__","numpy.ndarray.__rxor__"
"tf.Tensor.__sub__","numpy.ndarray.__sub__"
"tf.Tensor.__truediv__","numpy.ndarray.__truediv__"
"tf.Tensor.__xor__","numpy.ndarray.__xor__"
