name,numpy
"eye","numpy.eye"
"empty","numpy.empty"
"full","numpy.full"
"identity","numpy.identity"
"ones","numpy.ones"
"ones_like","numpy.ones_like"
"zeros","numpy.zeros"
"zeros_like","numpy.zeros_like"
"full_like","numpy.full_like"
"empty_like","numpy.empty_like"
"array","numpy.array"
"copy","numpy.copy"
"asarray","numpy.asarray"
"asanyarray","numpy.asanyarray"
"ascontiguousarray","numpy.ascontiguousarray"
"asmatrix","numpy.asmatrix"
"frombuffer","numpy.frombuffer"
"fromfile","numpy.fromfile"
"fromfunction","numpy.fromfunction"
"fromiter","numpy.fromiter"
"fromstring","numpy.fromstring"
"loadtxt","numpy.loadtxt"
"core.records.array","numpy.core.records.array"
"core.records.fromarrays","numpy.core.records.fromarrays"
"core.records.fromrecords","numpy.core.records.fromrecords"
"core.records.fromstring","numpy.core.records.fromstring"
"core.records.fromfile","numpy.core.records.fromfile"
"core.defchararray.array","numpy.char.array"
"core.defchararray.asarray","numpy.char.asarray"
"arange","numpy.arange"
"linspace","numpy.linspace"
"logspace","numpy.logspace"
"meshgrid","numpy.meshgrid"
"geomspace","numpy.geomspace"
"mgrid",""
"ogrid",""
"tril","numpy.tril"
"diag","numpy.diag"
"diagflat","numpy.diagflat"
"tri","numpy.tri"
"triu","numpy.triu"
"vander","numpy.vander"
"mat","numpy.mat"
"bmat","numpy.bmat"
"copyto","numpy.copyto"
"reshape","numpy.reshape"
"ravel","numpy.ravel"
"ndarray.flatten","numpy.ndarray.flatten"
"ndarray.flat","numpy.ndarray.flat"
"swapaxes","numpy.swapaxes"
"ndarray.T","numpy.ndarray.T"
"transpose","numpy.transpose"
"moveaxis","numpy.moveaxis"
"rollaxis","numpy.rollaxis"
"expand_dims","numpy.expand_dims"
"squeeze","numpy.squeeze"
"broadcast_to","numpy.broadcast_to"
"broadcast_arrays","numpy.broadcast_arrays"
"atleast_1d","numpy.atleast_1d"
"atleast_2d","numpy.atleast_2d"
"atleast_3d","numpy.atleast_3d"
"broadcast",""
"asarray","numpy.asarray"
"asanyarray","numpy.asanyarray"
"asmatrix","numpy.asmatrix"
"asfarray","numpy.asfarray"
"asfortranarray","numpy.asfortranarray"
"ascontiguousarray","numpy.ascontiguousarray"
"asarray_chkfinite","numpy.asarray_chkfinite"
"asscalar","numpy.asscalar"
"require","numpy.require"
"concatenate","numpy.concatenate"
"stack","numpy.stack"
"dstack","numpy.dstack"
"vstack","numpy.vstack"
"column_stack","numpy.column_stack"
"hstack","numpy.hstack"
"block","numpy.block"
"split","numpy.split"
"hsplit","numpy.hsplit"
"vsplit","numpy.vsplit"
"array_split","numpy.array_split"
"dsplit","numpy.dsplit"
"tile","numpy.tile"
"repeat","numpy.repeat"
"unique","numpy.unique"
"delete","numpy.delete"
"insert","numpy.insert"
"append","numpy.append"
"resize","numpy.resize"
"trim_zeros","numpy.trim_zeros"
"reshape","numpy.reshape"
"flip","numpy.flip"
"roll","numpy.roll"
"rot90","numpy.rot90"
"fliplr","numpy.fliplr"
"flipud","numpy.flipud"
"load","numpy.load"
"save","numpy.save"
"savez","numpy.savez"
"savez_compressed","numpy.savez_compressed"
"genfromtxt","numpy.genfromtxt"
"loadtxt","numpy.loadtxt"
"savetxt","numpy.savetxt"
"fromregex","numpy.fromregex"
"fromstring","numpy.fromstring"
"ndarray.tofile","numpy.ndarray.tofile"
"ndarray.tolist","numpy.ndarray.tolist"
"fromfile","numpy.fromfile"
"ndarray.tofile","numpy.ndarray.tofile"
"array2string","numpy.array2string"
"array_repr","numpy.array_repr"
"array_str","numpy.array_str"
"format_float_positional","numpy.format_float_positional"
"format_float_scientific","numpy.format_float_scientific"
"memmap",""
"set_printoptions","numpy.set_printoptions"
"get_printoptions","numpy.get_printoptions"
"set_string_function","numpy.set_string_function"
"printoptions","numpy.printoptions"
"binary_repr","numpy.binary_repr"
"base_repr","numpy.base_repr"
"DataSource",""
"lib.format","numpy.lib.format"
"dot","numpy.dot"
"vdot","numpy.vdot"
"inner","numpy.inner"
"outer","numpy.outer"
"tensordot","numpy.tensordot"
"einsum","numpy.einsum"
"linalg.multi_dot","numpy.linalg.multi_dot"
"matmul","numpy.matmul"
"einsum_path","numpy.einsum_path"
"linalg.matrix_power","numpy.linalg.matrix_power"
"kron","numpy.kron"
"linalg.svd","numpy.linalg.svd"
"linalg.cholesky","numpy.linalg.cholesky"
"linalg.qr","numpy.linalg.qr"
"linalg.eig","numpy.linalg.eig"
"linalg.eigh","numpy.linalg.eigh"
"linalg.eigvals","numpy.linalg.eigvals"
"linalg.eivalsh","numpy.linalg.eivalsh"
"linalg.norm","numpy.linalg.norm"
"trace","numpy.trace"
"linalg.cond","numpy.linalg.cond"
"linalg.det","numpy.linalg.det"
"linalg.matrix_rank","numpy.linalg.matrix_rank"
