name,numpy
"argwhere","numpy.argwhere"
"as_coo",""
"clip","numpy.clip"
"concatenate","numpy.concatenate"
"diagonal","numpy.diagonal"
"diagonalize",""
"dot","numpy.dot"
"elemwise",""
"eye","numpy.eye"
"full","numpy.full"
"full_like","numpy.full_like"
"isneginf","numpy.isneginf"
"isposinf","numpy.isposinf"
"kron","numpy.kron"
"load_npz",""
"matmul","numpy.matmul"
"nanmax","numpy.nanmax"
"nanmean","numpy.nanmean"
"nanmin","numpy.nanmin"
"nanprod","numpy.nanprod"
"nanreduce",""
"nansum","numpy.nansum"
"ones","numpy.ones"
"ones_like","numpy.ones_like"
"outer","numpy.outer"
"random","numpy.random.random"
"result_type","numpy.result_type"
"roll","numpy.roll"
"save_npz",""
"stack","numpy.stack"
"tensordot","numpy.tensordot"
"tril","numpy.tril"
"triu","numpy.triu"
"where","numpy.where"
"zeros","numpy.zeros"
"zeros_like","numpy.zeros_like"
