category,dask.array,matplotlib,pandas,skimage,xarray
"(other)","1","4","5","2","4"
"binary_ops","3","0","0","1","0"
"creation","11","18","17","19","15"
"datetime","0","0","0","0","1"
"indexing","6","5","6","7","6"
"io","0","0","0","1","0"
"linalg","4","3","2","5","4"
"logical","8","9","12","6","7"
"manipulation","6","19","10","19","11"
"math","32","25","26","23","29"
"sets","1","1","2","1","1"
"signal_processing","10","3","0","0","0"
"sorting","1","1","2","1","0"
"statistics","15","7","14","10","17"
"utilities","2","5","4","5","5"
