numpy,dask.array,matplotlib,pandas,skimage,xarray
"numpy.","array","array","array","array","arange"
"numpy.","arange","arange","arange","zeros","array"
"numpy.","ones","asarray","asarray","ones","asarray"
"numpy.","reshape","linspace","isnan","arange","linspace"
"numpy.","isnan","zeros","zeros","absolute","ones"
"numpy.","all","sin","empty","sqrt","zeros"
"numpy.","sum","absolute","ones","asarray","einsum"
"numpy.","amin","vstack","concatenate","pad","sin"
"numpy.","amax","cos","where","sum","allclose"
"numpy.","nansum","concatenate","all","amax","pad"
"numpy.","zeros","meshgrid","sum","empty","empty"
"numpy.","var","ones","add","all","isnan"
"numpy.","eye","deg2rad","sqrt","zeros_like","unique"
"numpy.","empty","amin","tile","linspace","all"
"numpy.","nanmax","sqrt","any","mean","amin"
"numpy.","dot","hypot","repeat","cos","concatenate"
"numpy.","nanmin","isfinite","amin","sin","cos"
"numpy.","diagonal","amax","amax","eye","stack"
"numpy.","nanprod","ceil","percentile","allclose","sum"
"numpy.","asarray","log10","absolute","unique","amax"
"numpy.","concatenate","empty","linspace","concatenate","atleast_1d"
"numpy.","where","dot","take","ceil","add"
"numpy.","argmax","tile","argsort","reshape","argmax"
"numpy.","allclose","clip","isinf","amin","where"
"numpy.","add","log","allclose","empty_like","expand_dims"
