numpy,dask.array,matplotlib,pandas,skimage,xarray
"numpy.","nanstd","column_stack","putmask","ascontiguousarray","issubdtype"
"numpy.","nanvar","diff","insert","issubdtype","diff"
"numpy.","nanargmin","asanyarray","issubdtype","isscalar","gradient"
"numpy.","isscalar","ma.array","apply_along_axis","load","nanmean"
"numpy.","nanargmax","interp","lexsort","apply_over_axes","nanpercentile"
"numpy.","block","ma.masked_invalid","append","asanyarray","nanvar"
"numpy.","fft.hfft","ptp","delete","copy","get_printoptions"
"numpy.","fft.ihfft","resize","shares_memory","unravel_index","trapz"
"numpy.","insert","isclose","array_equal","diff","array_equal"
"numpy.","nancumprod","copyto","asanyarray","column_stack","flatnonzero"
"numpy.","nancumsum","isscalar","diff","gradient","isclose"
"numpy.","asanyarray","issubdtype","modf","invert","isscalar"
"numpy.","conjugate","ix_","ma.masked_all","indices","nanmedian"
"numpy.","float_power","append","compress","ma.array","nanquantile"
"numpy.","diff","conjugate","exp2","tri","nanstd"
"numpy.","invert","frombuffer","frombuffer","apply_along_axis","quantile"
"numpy.","cbrt","promote_types","in1d","array_equal","set_printoptions"
"numpy.","digitize","putmask","intersect1d","flatnonzero","swapaxes"
"numpy.","exp2","apply_along_axis","min_scalar_type","interp","conjugate"
"numpy.","fabs","hanning","searchsorted","min_scalar_type","datetime_data"
"numpy.","issubdtype","ma.masked_less_equal","core.records.array","insert","fabs"
"numpy.","modf","unwrap","core.records.fromarrays","isclose","isin"
"numpy.","spacing","array_equal","fabs","ravel_multi_index","isnat"
"numpy.","nanmedian","can_cast","find_common_type","swapaxes","ix_"
"numpy.","isin","convolve","flatnonzero","can_cast","lexsort"
