numpy,dask.array,matplotlib,pandas,skimage,xarray
"numpy.","isnan","asarray","asarray","absolute","asarray"
"numpy.","all","absolute","isnan","all","issubdtype"
"numpy.","amin","vstack","empty","asarray","allclose"
"numpy.","amax","deg2rad","repeat","pad","pad"
"numpy.","nansum","amin","all","amax","empty"
"numpy.","any","hypot","add","empty","isnan"
"numpy.","empty","isfinite","tile","clip","unique"
"numpy.","nanmax","amax","any","ascontiguousarray","diff"
"numpy.","dot","log10","amin","any","all"
"numpy.","nanmin","column_stack","amax","allclose","amin"
"numpy.","diagonal","repeat","percentile","unique","amax"
"numpy.","nanprod","empty","putmask","issubdtype","atleast_1d"
"numpy.","asarray","diff","absolute","amin","ravel"
"numpy.","nanstd","dot","sort","empty_like","add"
"numpy.","nanvar","tile","take","vstack","expand_dims"
"numpy.","allclose","all","argsort","isscalar","logical_not"
"numpy.","nanargmin","clip","isinf","hstack","percentile"
"numpy.","add","ravel","allclose","multiply","gradient"
"numpy.","fft.fft","asanyarray","dot","nonzero","moveaxis"
"numpy.","isscalar","atleast_1d","empty_like","load","nanmax"
"numpy.","true_divide","hstack","isfinite","rollaxis","nanmean"
"numpy.","nanargmax","ma.array","insert","round_","nanmin"
"numpy.","absolute","rad2deg","round_","deg2rad","nanpercentile"
"numpy.","fft.fft2","interp","unique","argsort","nanvar"
"numpy.","fft.ifft","any","issubdtype","hypot","frexp"
