numpy,cupy,dask.array,jax,mxnet,pytorch,tensorflow
"numpy.ndarray","ndarray","Array","ndarray","nd","Tensor","Tensor"
"numpy.ndarray.T","T","T","T","T","T",""
"numpy.ndarray.__abs__","__abs__","__abs__","__abs__","__abs__","__abs__","__abs__"
"numpy.ndarray.__add__","__add__","__add__","__add__","__add__","__add__","__add__"
"numpy.ndarray.__and__","__and__","__and__","__and__","","__and__","__and__"
"numpy.ndarray.__array__","","__array__","__array__","","__array__","__array__"
"numpy.ndarray.__array_priority__","","__array_priority__","__array_priority__","__array_priority__","__array_priority__","__array_priority__"
"numpy.ndarray.__bool__","","__bool__","__bool__","__bool__","__bool__","__bool__"
"numpy.ndarray.__class__","","__clas__","__class__","__class__","__class__","__clas__"
"numpy.ndarray.__complex__","__complex__","__complex__","__complex__","","","__complex__"
"numpy.ndarray.__deepcopy__","__deepcopy__","__deepcopy__","","","__deepcopy__","__deepcopy__"
"numpy.ndarray.__delattr__","","__delattr__","__delattr__","__delattr__","__delattr__","__delattr__"
"numpy.ndarray.__dir__","","__dir__","__dir__","__dir__","__dir__","__dir__"
"numpy.ndarray.__doc__","","__doc__","__doc__","__doc__","__doc__",""
"numpy.ndarray.__eq__","__eq__","__eq__","__eq__","__eq__","__eq__","__eq__"
"numpy.ndarray.__float__","__float__","__float__","__float__","","__float__","__float__"
"numpy.ndarray.__floordiv__","__floordiv__","__floordiv__","__floordiv__","","__floordiv__","__floordiv__"
"numpy.ndarray.__format__","","__format__","__format__","__format__","__format__","__format__"
"numpy.ndarray.__ge__","__ge__","__ge__","__ge__","__ge__","__ge__","__ge__"
"numpy.ndarray.__getattribute__","","","__getattribute__","__getattribute__","__getattribute__","__getattribute__"
"numpy.ndarray.__getitem__","__getitem__","__getitem__","__getitem__","__getitem__","__getitem__","__getitem__"
"numpy.ndarray.__gt__","__gt__","__gt__","__gt__","__gt__","__gt__","__gt__"
"numpy.ndarray.__hash__","","__hash__","__hash__","__hash__","__hash__","__hash__"
"numpy.ndarray.__init__","","__init__","__init__","__init__","__init__","__init__"
"numpy.ndarray.__init_subclass__","","__init_subclass__","__init_subclass__","__init_subclass__","__init_subclass__","__init_subclass__"
"numpy.ndarray.__int__","__int__","__int__","__int__","","__int__","__int__"
"numpy.ndarray.__invert__","__invert__","__invert__","__invert__","","__invert__","__invert__"
"numpy.ndarray.__iter__","__iter__","","__iter__","","__iter__","__iter__"
"numpy.ndarray.__le__","__le__","__le__","__le__","__le__","__le__","__le__"
"numpy.ndarray.__len__","__len__","__len__","__len__","__len__","__len__","__len__"
"numpy.ndarray.__lshift__","__lshift__","__lshift__","__lshift__","","__lshift__",""
"numpy.ndarray.__lt__","__lt__","__lt__","__lt__","__lt__","__lt__","__lt__"
"numpy.ndarray.__matmul__","__matmul__","__matmul__","__matmul__","","__matmul__","__matmul__"
"numpy.ndarray.__mod__","__mod__","__mod__","__mod__","__mod__","__mod__","__mod__"
"numpy.ndarray.__mul__","__mul__","__mul__","__mul__","__mul__","__mul__","__mul__"
"numpy.ndarray.__ne__","__ne__","__ne__","__ne__","__ne__","__ne__","__ne__"
"numpy.ndarray.__neg__","__neg__","__neg__","__neg__","__neg__","__neg__","__neg__"
"numpy.ndarray.__new__","","__new__","__new__","__new__","__new__","__new__"
"numpy.ndarray.__or__","__or__","__or__","__or__","","__or__","__or__"
"numpy.ndarray.__pow__","__pow__","__pow__","__pow__","__pow__","__pow__","__pow__"
"numpy.ndarray.__radd__","","__radd__","__radd__","__radd__","__radd__","__radd__"
"numpy.ndarray.__reduce__","","__reduce__","__reduce__","__reduce__","__reduce__","__reduce__"
"numpy.ndarray.__reduce_ex__","","__reduce_ex__","","__reduce_ex__","__reduce_ex__","__reduce_ex__"
"numpy.ndarray.__repr__","__repr__","__repr__","__repr__","__repr__","__repr__","__repr__"
"numpy.ndarray.__rfloordiv__","","__rfloordiv__","__rfloordiv__","","__rfloordiv__","__rfloordiv__"
"numpy.ndarray.__rmod__","","__rmod__","__rmod__","__rmod__","","__rmod__"
"numpy.ndarray.__rmul__","","__rmul__","__rmul__","__rmul__","__rmul__","__rmul__"
"numpy.ndarray.__rpow__","","__rpow__","__rpow__","__rpow__","__rpow__","__rpow__"
