numpy,cupy,dask.array,jax,mxnet,pytorch,tensorflow
"numpy.ndarray.__array__","","__array__","","","__array__",""
"numpy.ndarray.__array_wrap__","","","","","__array_wrap__",""
"numpy.ndarray.__complex__","__complex__","__complex__","","","",""
"numpy.ndarray.__contains__","","","","","__contains__",""
"numpy.ndarray.__copy__","__copy__","","","","",""
"numpy.ndarray.__deepcopy__","__deepcopy__","","","","__deepcopy__",""
"numpy.ndarray.__divmod__","__divmod__","__divmod__","__divmod__","","",""
"numpy.ndarray.__float__","__float__","__float__","","","__float__",""
"numpy.ndarray.__iadd__","__iadd__","","","__iadd__","__iadd__",""
"numpy.ndarray.__iand__","__iand__","","","","__iand__",""
"numpy.ndarray.__ifloordiv__","__ifloordiv__","","","","__ifloordiv__",""
"numpy.ndarray.__ilshift__","__ilshift__","","","","__ilshift__",""
"numpy.ndarray.__imod__","__imod__","","","__imod__","",""
"numpy.ndarray.__imul__","__imul__","","","__imul__","__imul__",""
"numpy.ndarray.__int__","__int__","__int__","","","__int__",""
"numpy.ndarray.__ior__","__ior__","","","","__ior__",""
"numpy.ndarray.__ipow__","__ipow__","","","","__ipow__",""
"numpy.ndarray.__irshift__","__irshift__","","","","__irshift__",""
"numpy.ndarray.__isub__","__isub__","","","__isub__","__isub__",""
"numpy.ndarray.__iter__","__iter__","","","","__iter__","__iter__"
"numpy.ndarray.__itruediv__","__itruediv__","","","__itruediv__","__itruediv__",""
"numpy.ndarray.__ixor__","__ixor__","","","","__ixor__",""
"numpy.ndarray.__new__","","__new__","","","__new__",""
"numpy.ndarray.__pos__","__pos__","__pos__","__pos__","","",""
"numpy.ndarray.__rand__","","__rand__","__rand__","","","__rand__"
"numpy.ndarray.__rdivmod__","","__rdivmod__","__rdivmod__","","",""
"numpy.ndarray.__reduce__","","__reduce__","","__reduce__","__reduce__",""
"numpy.ndarray.__rlshift__","","__rlshift__","__rlshift__","","",""
"numpy.ndarray.__rmatmul__","","__rmatmul__","__rmatmul__","","","__rmatmul__"
"numpy.ndarray.__ror__","","__ror__","__ror__","","","__ror__"
"numpy.ndarray.__rrshift__","","__rrshift__","__rrshift__","","",""
"numpy.ndarray.__rxor__","","__rxor__","","","","__rxor__"
"numpy.ndarray.__setstate__","","","","__setstate__","__setstate__",""
"numpy.ndarray.__str__","__str__","","","","__str__",""
"numpy.ndarray.argpartition","argpartition","","argpartition","","",""
"numpy.ndarray.base","base","","base","","_base",""
"numpy.ndarray.byteswap","","","byteswap","","",""
"numpy.ndarray.choose","choose","choose","choose","","",""
"numpy.ndarray.compress","compress","","compress","","",""
"numpy.ndarray.conj","conjugate","","conjugate","","conj",""
"numpy.ndarray.ctypes","","","ctypes","","",""
"numpy.ndarray.data","data","","data","","data",""
"numpy.ndarray.diagonal","diagonal","","diagonal","","diagonal",""
"numpy.ndarray.dot","dot","dot","dot","","",""
"numpy.ndarray.dump","dump","","dump","","",""
"numpy.ndarray.dumps","dumps","","dumps","","",""
"numpy.ndarray.fill","fill","","fill","","fill_",""
"numpy.ndarray.flags","flags","","flags","","",""
"numpy.ndarray.flat","","","flat","","",""
"numpy.ndarray.getfield","","","getfield","","",""
"numpy.ndarray.imag","imag","","imag","","imag",""
"numpy.ndarray.item","item","","item","","item",""
"numpy.ndarray.itemset","","","itemset","","",""
"numpy.ndarray.itemsize","itemsize","itemsize","itemsize","","",""
"numpy.ndarray.nbytes","nbytes","nbytes","nbytes","","",""
"numpy.ndarray.partition","partition","","partition","","",""
"numpy.ndarray.ptp","ptp","","ptp","","",""
"numpy.ndarray.put","put","","put","","put_",""
"numpy.ndarray.ravel","ravel","ravel","ravel","","",""
"numpy.ndarray.real","real","","real","","real",""
"numpy.ndarray.resize","","","resize","","resize_",""
"numpy.ndarray.searchsorted","","","searchsorted","","",""
"numpy.ndarray.setflags","","","setflags","","",""
"numpy.ndarray.strides","strides","","strides","","",""
"numpy.ndarray.tobytes","tobytes","","tobytes","","",""
"numpy.ndarray.tofile","tofile","","tofile","","",""
"numpy.ndarray.tolist","tolist","","tolist","","tolist",""
"numpy.ndarray.tostring","","","tostring","","",""
