numpy,cupy,dask.array,jax,mxnet,pytorch,tensorflow
"numpy.ndarray.T","T","T","T","T","T",""
"numpy.ndarray.__and__","__and__","__and__","__and__","","__and__","__and__"
"numpy.ndarray.__array__","","__array__","__array__","","__array__",""
"numpy.ndarray.__array_wrap__","","","","","__array_wrap__",""
"numpy.ndarray.__bool__","","__bool__","__bool__","__bool__","__bool__","__bool__"
"numpy.ndarray.__complex__","__complex__","__complex__","","","",""
"numpy.ndarray.__contains__","","","","","__contains__",""
"numpy.ndarray.__copy__","__copy__","","","","",""
"numpy.ndarray.__deepcopy__","__deepcopy__","","","","__deepcopy__",""
"numpy.ndarray.__divmod__","__divmod__","__divmod__","__divmod__","","",""
"numpy.ndarray.__float__","__float__","__float__","__float__","","__float__",""
"numpy.ndarray.__floordiv__","__floordiv__","__floordiv__","__floordiv__","","__floordiv__","__floordiv__"
"numpy.ndarray.__iadd__","__iadd__","","","__iadd__","__iadd__",""
"numpy.ndarray.__iand__","__iand__","","","","__iand__",""
"numpy.ndarray.__ifloordiv__","__ifloordiv__","","","","__ifloordiv__",""
"numpy.ndarray.__ilshift__","__ilshift__","","","","__ilshift__",""
"numpy.ndarray.__imod__","__imod__","","","__imod__","",""
"numpy.ndarray.__imul__","__imul__","","","__imul__","__imul__",""
"numpy.ndarray.__int__","__int__","__int__","__int__","","__int__",""
"numpy.ndarray.__invert__","__invert__","__invert__","__invert__","","__invert__","__invert__"
"numpy.ndarray.__ior__","__ior__","","","","__ior__",""
"numpy.ndarray.__ipow__","__ipow__","","","","__ipow__",""
"numpy.ndarray.__irshift__","__irshift__","","","","__irshift__",""
"numpy.ndarray.__isub__","__isub__","","","__isub__","__isub__",""
"numpy.ndarray.__iter__","__iter__","","__iter__","","__iter__","__iter__"
"numpy.ndarray.__itruediv__","__itruediv__","","","__itruediv__","__itruediv__",""
"numpy.ndarray.__ixor__","__ixor__","","","","__ixor__",""
"numpy.ndarray.__lshift__","__lshift__","__lshift__","__lshift__","","__lshift__",""
"numpy.ndarray.__matmul__","__matmul__","__matmul__","__matmul__","","__matmul__","__matmul__"
"numpy.ndarray.__new__","","__new__","__new__","","__new__",""
"numpy.ndarray.__or__","__or__","__or__","__or__","","__or__","__or__"
"numpy.ndarray.__pos__","__pos__","__pos__","__pos__","","",""
"numpy.ndarray.__radd__","","__radd__","__radd__","__radd__","__radd__","__radd__"
"numpy.ndarray.__rand__","","__rand__","__rand__","","","__rand__"
"numpy.ndarray.__rdivmod__","","__rdivmod__","__rdivmod__","","",""
"numpy.ndarray.__reduce__","","__reduce__","__reduce__","__reduce__","__reduce__",""
"numpy.ndarray.__repr__","__repr__","__repr__","__repr__","__repr__","__repr__",""
"numpy.ndarray.__rfloordiv__","","__rfloordiv__","__rfloordiv__","","__rfloordiv__","__rfloordiv__"
"numpy.ndarray.__rlshift__","","__rlshift__","__rlshift__","","",""
"numpy.ndarray.__rmatmul__","","__rmatmul__","__rmatmul__","","","__rmatmul__"
"numpy.ndarray.__rmod__","","__rmod__","__rmod__","__rmod__","","__rmod__"
"numpy.ndarray.__rmul__","","__rmul__","__rmul__","__rmul__","__rmul__","__rmul__"
"numpy.ndarray.__ror__","","__ror__","__ror__","","","__ror__"
"numpy.ndarray.__rpow__","","__rpow__","__rpow__","__rpow__","__rpow__","__rpow__"
"numpy.ndarray.__rrshift__","","__rrshift__","__rrshift__","","",""
"numpy.ndarray.__rshift__","__rshift__","__rshift__","__rshift__","","__rshift__",""
"numpy.ndarray.__rsub__","","__rsub__","__rsub__","__rsub__","__rsub__",""
"numpy.ndarray.__rtruediv__","","__rtruediv__","__rtruediv__","__rtruediv__","__rtruediv__","__rtruediv__"
"numpy.ndarray.__rxor__","","__rxor__","__rxor__","","","__rxor__"
"numpy.ndarray.__setitem__","__setitem__","__setitem__","__setitem__","__setitem__","__setitem__",""
"numpy.ndarray.__setstate__","","","","__setstate__","__setstate__",""
"numpy.ndarray.__sizeof__","","","__sizeof__","","__sizeof__",""
"numpy.ndarray.__str__","__str__","","__str__","","__str__",""
"numpy.ndarray.__xor__","__xor__","__xor__","__xor__","","__xor__","__xor__"
"numpy.ndarray.all","all","all","all","","all",""
"numpy.ndarray.any","any","any","any","","any",""
"numpy.ndarray.argmax","argmax","argmax","argmax","argmax","argmax",""
"numpy.ndarray.argmin","argmin","argmin","argmin","argmin","argmin",""
"numpy.ndarray.argpartition","argpartition","","argpartition","","",""
"numpy.ndarray.argsort","argsort","","argsort","argsort","argsort",""
"numpy.ndarray.astype","astype","astype","astype","astype","",""
"numpy.ndarray.base","base","","","","_base",""
"numpy.ndarray.byteswap","","","","","",""
"numpy.ndarray.choose","choose","choose","choose","","",""
