numpy,cupy,dask.array,jax,mxnet,pytorch,sparse,tensorflow
"numpy.ndarray","ndarray","Array","ndarray","nd","Tensor","COO","Tensor"
"numpy.ndarray.T","ndarray.T","","ndarray.T","nd.T","Tensor.T","COO.T",""
"numpy.ndarray.__abs__","ndarray.__abs__","Array.__abs__","ndarray.__abs__","nd.__abs__","Tensor.__abs__","COO.__abs__","Tensor.__abs__"
"numpy.ndarray.__add__","ndarray.__add__","Array.__add__","ndarray.__add__","nd.__add__","Tensor.__add__","COO.__add__","Tensor.__add__"
"numpy.ndarray.__and__","ndarray.__and__","Array.__and__","ndarray.__and__","","Tensor.__and__","COO.__and__","Tensor.__and__"
"numpy.ndarray.__array__","","","","","Tensor.__array__","COO.__array__",""
"numpy.ndarray.__array_wrap__","","","","","Tensor.__array_wrap__","",""
"numpy.ndarray.__bool__","","","","nd.__bool__","Tensor.__bool__","","Tensor.__bool__"
"numpy.ndarray.__complex__","ndarray.__complex__","","","","","",""
"numpy.ndarray.__contains__","","","","","Tensor.__contains__","",""
"numpy.ndarray.__copy__","ndarray.__copy__","","","","","",""
"numpy.ndarray.__deepcopy__","ndarray.__deepcopy__","","","","Tensor.__deepcopy__","",""
"numpy.ndarray.__divmod__","ndarray.__divmod__","Array.__divmod__","ndarray.__divmod__","","","COO.__divmod__",""
"numpy.ndarray.__eq__","","Array.__eq__","ndarray.__eq__","nd.__eq__","Tensor.__eq__","COO.__eq__","Tensor.__eq__"
"numpy.ndarray.__float__","ndarray.__float__","","","","Tensor.__float__","",""
"numpy.ndarray.__floordiv__","ndarray.__floordiv__","Array.__floordiv__","ndarray.__floordiv__","","Tensor.__ifloordiv__","COO.__floordiv__","Tensor.__floordiv__"
"numpy.ndarray.__ge__","","Array.__ge__","ndarray.__ge__","nd.__ge__","Tensor.__ge__","COO.__ge__","Tensor.__ge__"
"numpy.ndarray.__getitem__","ndarray.__getitem__","","ndarray.__getitem__","nd.__getitem__","Tensor.__getitem__","","Tensor.__getitem__"
"numpy.ndarray.__gt__","","Array.__gt__","ndarray.__gt__","nd.__gt__","Tensor.__gt__","COO.__gt__","Tensor.__gt__"
"numpy.ndarray.__iadd__","ndarray.__iadd__","","","nd.__iadd__","Tensor.__iadd__","COO.__iadd__",""
"numpy.ndarray.__iand__","ndarray.__iand__","","","","Tensor.__iand__","COO.__iand__",""
"numpy.ndarray.__ifloordiv__","ndarray.__ifloordiv__","","","","","COO.__ifloordiv__",""
"numpy.ndarray.__ilshift__","ndarray.__ilshift__","","","","Tensor.__ilshift__","COO.__ilshift__",""
"numpy.ndarray.__imod__","ndarray.__imod__","","","nd.__imod__","","COO.__imod__",""
"numpy.ndarray.__imul__","ndarray.__imul__","","","nd.__imul__","Tensor.__imul__","COO.__imul__",""
"numpy.ndarray.__int__","ndarray.__int__","","","","Tensor.__int__","",""
"numpy.ndarray.__invert__","ndarray.__invert__","Array.__invert__","ndarray.__invert__","","Tensor.__invert__","COO.__invert__","Tensor.__invert__"
"numpy.ndarray.__ior__","ndarray.__ior__","","","","Tensor.__ior__","COO.__ior__",""
"numpy.ndarray.__ipow__","ndarray.__ipow__","","","","Tensor.__ipow__","COO.__ipow__",""
"numpy.ndarray.__irshift__","ndarray.__irshift__","","","","Tensor.__irshift__","COO.__irshift__",""
"numpy.ndarray.__isub__","ndarray.__isub__","","","nd.__isub__","Tensor.__isub__","COO.__isub__",""
"numpy.ndarray.__iter__","","","","","Tensor.__iter__","","Tensor.__iter__"
"numpy.ndarray.__itruediv__","ndarray.__itruediv__","","","nd.__itruediv__","Tensor.__itruediv__","COO.__itruediv__",""
"numpy.ndarray.__ixor__","ndarray.__ixor__","","","","Tensor.__ixor__","COO.__ixor__",""
"numpy.ndarray.__le__","","Array.__le__","ndarray.__le__","nd.__le__","Tensor.__le__","COO.__le__","Tensor.__le__"
"numpy.ndarray.__len__","ndarray.__len__","","","nd.__len__","Tensor.__len__","COO.__len__","Tensor.__len__"
"numpy.ndarray.__lshift__","ndarray.__lshift__","Array.__lshift__","ndarray.__lshift__","","Tensor.__lshift__","COO.__lshift__",""
"numpy.ndarray.__lt__","","Array.__lt__","ndarray.__lt__","nd.__lt__","Tensor.__lt__","COO.__lt__","Tensor.__lt__"
"numpy.ndarray.__matmul__","ndarray.__matmul__","Array.__matmul__","ndarray.__matmul__","","Tensor.__matmul__","COO.__matmul__","Tensor.__matmul__"
"numpy.ndarray.__mod__","ndarray.__mod__","Array.__mod__","ndarray.__mod__","nd.__mod__","Tensor.__mod__","COO.__mod__","Tensor.__mod__"
"numpy.ndarray.__mul__","ndarray.__mul__","Array.__mul__","ndarray.__mul__","nd.__mul__","Tensor.__mul__","COO.__mul__","Tensor.__mul__"
"numpy.ndarray.__ne__","","Array.__ne__","ndarray.__ne__","nd.__ne__","Tensor.__ne__","COO.__ne__","Tensor.__ne__"
"numpy.ndarray.__neg__","ndarray.__neg__","Array.__neg__","ndarray.__neg__","nd.__neg__","Tensor.__neg__","COO.__neg__","Tensor.__neg__"
"numpy.ndarray.__new__","","","","","Tensor.__new__","",""
