name,description,signature,url,numpy,numpy_url
"cupy.absolute = <ufunc 'cupy_absolute'>","Elementwise absolute value function.","cupy.absolute = <ufunc 'cupy_absolute'>","https://docs.cupy.dev/en/stable/reference/generated/cupy.absolute.html#cupy.absolute","numpy.absolute","https://numpy.org/doc/stable/reference/generated/numpy.absolute.html#numpy.absolute"
"cupy.add = <ufunc 'cupy_add'>","Adds two arrays elementwise.","cupy.add = <ufunc 'cupy_add'>","https://docs.cupy.dev/en/stable/reference/generated/cupy.add.html#cupy.add","numpy.add","https://numpy.org/doc/stable/reference/generated/numpy.add.html#numpy.add"
"cupy.all","Tests whether all array elements along a given axis evaluate to True.","cupy.all(a\, axis=None\, out=None\, keepdims=False)","https://docs.cupy.dev/en/stable/reference/generated/cupy.all.html#cupy.all","numpy.all()","https://numpy.org/doc/stable/reference/generated/numpy.all.html#numpy.all"
"cupy.allclose","Returns True if two arrays are element-wise equal within a tolerance.","cupy.allclose(a\, b\, rtol=1e-05\, atol=1e-08\, equal_nan=False)","https://docs.cupy.dev/en/stable/reference/generated/cupy.allclose.html#cupy.allclose","numpy.allclose()","https://numpy.org/doc/stable/reference/generated/numpy.allclose.html#numpy.allclose"
"cupy.amax","Returns the maximum of an array or the maximum along an axis.","cupy.amax(a\, axis=None\, out=None\, keepdims=False)","https://docs.cupy.dev/en/stable/reference/generated/cupy.amax.html#cupy.amax","numpy.amax()","https://numpy.org/doc/stable/reference/generated/numpy.amax.html#numpy.amax"
"cupy.amin","Returns the minimum of an array or the minimum along an axis.","cupy.amin(a\, axis=None\, out=None\, keepdims=False)","https://docs.cupy.dev/en/stable/reference/generated/cupy.amin.html#cupy.amin","numpy.amin()","https://numpy.org/doc/stable/reference/generated/numpy.amin.html#numpy.amin"
"cupy.angle = <ufunc 'cupy_angle'>","Returns the angle of the complex argument.","cupy.angle = <ufunc 'cupy_angle'>","https://docs.cupy.dev/en/stable/reference/generated/cupy.angle.html#cupy.angle","numpy.angle()","https://numpy.org/doc/stable/reference/generated/numpy.angle.html#numpy.angle"
"cupy.any","Tests whether any array elements along a given axis evaluate to True.","cupy.any(a\, axis=None\, out=None\, keepdims=False)","https://docs.cupy.dev/en/stable/reference/generated/cupy.any.html#cupy.any","numpy.any()","https://numpy.org/doc/stable/reference/generated/numpy.any.html#numpy.any"
"cupy.append","Append values to the end of an array.","cupy.append(arr\, values\, axis=None)","https://docs.cupy.dev/en/stable/reference/generated/cupy.append.html#cupy.append","numpy.append()","https://numpy.org/doc/stable/reference/generated/numpy.append.html#numpy.append"
"cupy.apply_along_axis","Apply a function to 1-D slices along the given axis.","cupy.apply_along_axis(func1d\, axis\, arr\, *args\, **kwargs)","https://docs.cupy.dev/en/stable/reference/generated/cupy.apply_along_axis.html#cupy.apply_along_axis","",""
"cupy.arange","Returns an array with evenly spaced values within a given interval.","cupy.arange(start\, stop=None\, step=1\, dtype=None)","https://docs.cupy.dev/en/stable/reference/generated/cupy.arange.html#cupy.arange","numpy.arange()","https://numpy.org/doc/stable/reference/generated/numpy.arange.html#numpy.arange"
