name,description,signature,url
"add","This docstring was copied from numpy.add.","add(x1\, x2\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.add"
"all","Test whether all array elements along a given axis evaluate to True.","all(a[\, axis\, keepdims\, split_every\, out])","https://docs.dask.org/en/latest/array-api.html#dask.array.all"
"allclose","Returns True if two arrays are element-wise equal within a tolerance.","allclose(arr1\, arr2[\, rtol\, atol\, equal_nan])","https://docs.dask.org/en/latest/array-api.html#dask.array.allclose"
"angle","Return the angle of the complex argument.","angle(x[\, deg])","https://docs.dask.org/en/latest/array-api.html#dask.array.angle"
"any","Test whether any array element along a given axis evaluates to True.","any(a[\, axis\, keepdims\, split_every\, out])","https://docs.dask.org/en/latest/array-api.html#dask.array.any"
"append","Append values to the end of an array.","append(arr\, values[\, axis])","https://docs.dask.org/en/latest/array-api.html#dask.array.append"
"apply_along_axis","Apply a function to 1-D slices along the given axis.","apply_along_axis(func1d\, axis\, arr\, *args[\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.apply_along_axis"
"apply_gufunc","Apply a generalized ufunc or similar python function to arrays.","apply_gufunc(func\, signature\, *args\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.gufunc.apply_gufunc"
"apply_over_axes","Apply a function repeatedly over multiple axes.","apply_over_axes(func\, a\, axes)","https://docs.dask.org/en/latest/array-api.html#dask.array.apply_over_axes"
"arange","Return evenly spaced values from start to stop with step size step.","arange(*args\, **kwargs)","https://docs.dask.org/en/latest/array-api.html#dask.array.arange"
"arccos","This docstring was copied from numpy.arccos.","arccos(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.arccos"
"arccosh","This docstring was copied from numpy.arccosh.","arccosh(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.arccosh"
"arcsin","This docstring was copied from numpy.arcsin.","arcsin(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.arcsin"
"arcsinh","This docstring was copied from numpy.arcsinh.","arcsinh(x\, /[\, out\, where\, casting\, order\, …])","https://docs.dask.org/en/latest/array-api.html#dask.array.arcsinh"
