name,description,signature,url
"abs","Calculate the absolute value element-wise.","abs(x)","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.abs.html#jax.numpy.abs"
"absolute","Calculate the absolute value element-wise.","absolute(x)","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.absolute.html#jax.numpy.absolute"
"add","Add arguments element-wise.","add(x1\, x2)","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.add.html#jax.numpy.add"
"all","Test whether all array elements along a given axis evaluate to True.","all(a[\, axis\, dtype\, out\, keepdims])","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.all.html#jax.numpy.all"
"allclose","Returns True if two arrays are element-wise equal within a tolerance.","allclose(a\, b[\, rtol\, atol])","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.allclose.html#jax.numpy.allclose"
"alltrue","Test whether all array elements along a given axis evaluate to True.","alltrue(a[\, axis\, dtype\, out\, keepdims])","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.alltrue.html#jax.numpy.alltrue"
"amax","Return the maximum of an array or maximum along an axis.","amax(a[\, axis\, dtype\, out\, keepdims])","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.amax.html#jax.numpy.amax"
"amin","Return the minimum of an array or minimum along an axis.","amin(a[\, axis\, dtype\, out\, keepdims])","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.amin.html#jax.numpy.amin"
"angle","Return the angle of the complex argument.","angle(z)","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.angle.html#jax.numpy.angle"
"any","Test whether any array element along a given axis evaluates to True.","any(a[\, axis\, dtype\, out\, keepdims])","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.any.html#jax.numpy.any"
"append","Append values to the end of an array.","append(arr\, values[\, axis])","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.append.html#jax.numpy.append"
"arange","Return evenly spaced values within a given interval.","arange(start[\, stop\, step\, dtype])","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.arange.html#jax.numpy.arange"
"arccos","Trigonometric inverse cosine\, element-wise.","arccos(x)","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.arccos.html#jax.numpy.arccos"
"arccosh","Inverse hyperbolic cosine\, element-wise.","arccosh(x)","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.arccosh.html#jax.numpy.arccosh"
"arcsin","Inverse sine\, element-wise.","arcsin(x)","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.arcsin.html#jax.numpy.arcsin"
"arcsinh","Inverse hyperbolic sine element-wise.","arcsinh(x)","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.arcsinh.html#jax.numpy.arcsinh"
"arctan","Trigonometric inverse tangent\, element-wise.","arctan(x)","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.arctan.html#jax.numpy.arctan"
"arctan2","Element-wise arc tangent of x1/x2 choosing the quadrant correctly.","arctan2(x1\, x2)","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.arctan2.html#jax.numpy.arctan2"
"arctanh","Inverse hyperbolic tangent element-wise.","arctanh(x)","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.arctanh.html#jax.numpy.arctanh"
"argmax","Returns the indices of the maximum values along an axis.","argmax(a[\, axis])","https://jax.readthedocs.io/en/latest/_autosummary/jax.numpy.argmax.html#jax.numpy.argmax"
