name,description,signature,url
"mxnet.ndarray.Activation","Applies an activation function element-wise to the input.","mxnet.ndarray.Activation(data=None\, act_type=_Null\, out=None\, name=None\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.Activation"
"mxnet.ndarray.BatchNorm","Batch normalization.","mxnet.ndarray.BatchNorm(data=None\, gamma=None\, beta=None\, moving_mean=None\, moving_var=None\, eps=_Null\, momentum=_Null\, fix_gamma=_Null\, use_global_stats=_Null\, output_mean_var=_Null\, axis=_Null\, cudnn_off=_Null\, min_calib_range=_Null\, max_calib_range=_Null\, out=None\, name=None\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.BatchNorm"
"mxnet.ndarray.BatchNorm_v1","Batch normalization.","mxnet.ndarray.BatchNorm_v1(data=None\, gamma=None\, beta=None\, eps=_Null\, momentum=_Null\, fix_gamma=_Null\, use_global_stats=_Null\, output_mean_var=_Null\, out=None\, name=None\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.BatchNorm_v1"
"mxnet.ndarray.BilinearSampler","Applies bilinear sampling to input feature map.","mxnet.ndarray.BilinearSampler(data=None\, grid=None\, cudnn_off=_Null\, out=None\, name=None\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.BilinearSampler"
"mxnet.ndarray.BlockGrad","Stops gradient computation.","mxnet.ndarray.BlockGrad(data=None\, out=None\, name=None\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.BlockGrad"
"mxnet.ndarray.CTCLoss","Connectionist Temporal Classification Loss.","mxnet.ndarray.CTCLoss(data=None\, label=None\, data_lengths=None\, label_lengths=None\, use_data_lengths=_Null\, use_label_lengths=_Null\, blank_label=_Null\, out=None\, name=None\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.CTCLoss"
"mxnet.ndarray.CachedOp","Bases: object","mxnet.ndarray.CachedOp(sym\, flags=())","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.CachedOp"
"mxnet.ndarray.Cast","Casts all elements of the input to a new type.","mxnet.ndarray.Cast(data=None\, dtype=_Null\, out=None\, name=None\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.Cast"
"mxnet.ndarray.Concat","Joins input arrays along a given axis.","mxnet.ndarray.Concat(*data\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.Concat"
"mxnet.ndarray.Convolution","Compute N-D convolution on (N+2)-D input.","mxnet.ndarray.Convolution(data=None\, weight=None\, bias=None\, kernel=_Null\, stride=_Null\, dilate=_Null\, pad=_Null\, num_filter=_Null\, num_group=_Null\, workspace=_Null\, no_bias=_Null\, cudnn_tune=_Null\, cudnn_off=_Null\, layout=_Null\, out=None\, name=None\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.Convolution"
"mxnet.ndarray.Convolution_v1","This operator is DEPRECATED. Apply convolution to input then add a bias.","mxnet.ndarray.Convolution_v1(data=None\, weight=None\, bias=None\, kernel=_Null\, stride=_Null\, dilate=_Null\, pad=_Null\, num_filter=_Null\, num_group=_Null\, workspace=_Null\, no_bias=_Null\, cudnn_tune=_Null\, cudnn_off=_Null\, layout=_Null\, out=None\, name=None\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.Convolution_v1"
"mxnet.ndarray.Correlation","Applies correlation to inputs.","mxnet.ndarray.Correlation(data1=None\, data2=None\, kernel_size=_Null\, max_displacement=_Null\, stride1=_Null\, stride2=_Null\, pad_size=_Null\, is_multiply=_Null\, out=None\, name=None\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.Correlation"
"mxnet.ndarray.Crop"," Note Crop is deprecated. Use slice instead. ","mxnet.ndarray.Crop(*data\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.Crop"
"mxnet.ndarray.Custom","Apply a custom operator implemented in a frontend language (like Python).","mxnet.ndarray.Custom(*data\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.Custom"
"mxnet.ndarray.Deconvolution","Computes 1D or 2D transposed convolution (aka fractionally strided convolution) of the input tensor. This operation can be seen as the gradient of Convolution operation with respect to its input. Convolution usually reduces the size of the input. Transposed convolution works the other way\, going from a smaller input to a larger output while preserving the connectivity pattern.","mxnet.ndarray.Deconvolution(data=None\, weight=None\, bias=None\, kernel=_Null\, stride=_Null\, dilate=_Null\, pad=_Null\, adj=_Null\, target_shape=_Null\, num_filter=_Null\, num_group=_Null\, workspace=_Null\, no_bias=_Null\, cudnn_tune=_Null\, cudnn_off=_Null\, layout=_Null\, out=None\, name=None\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.Deconvolution"
"mxnet.ndarray.Dropout","Applies dropout operation to input array.","mxnet.ndarray.Dropout(data=None\, p=_Null\, mode=_Null\, axes=_Null\, cudnn_off=_Null\, out=None\, name=None\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.Dropout"
"mxnet.ndarray.ElementWiseSum","Adds all input arguments element-wise.","mxnet.ndarray.ElementWiseSum(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.ElementWiseSum"
"mxnet.ndarray.Embedding","Maps integer indices to vector representations (embeddings).","mxnet.ndarray.Embedding(data=None\, weight=None\, input_dim=_Null\, output_dim=_Null\, dtype=_Null\, sparse_grad=_Null\, out=None\, name=None\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.Embedding"
"mxnet.ndarray.Flatten","Flattens the input array into a 2-D array by collapsing the higher dimensions. .. note:: Flatten is deprecated. Use flatten instead. For an input array with shape (d1\, d2\, ...\, dk)\, flatten operation reshapes the input array into an output array of shape (d1\, d2*...*dk). Note that the behavior of this function is different from numpy.ndarray.flatten\, which behaves similar to mxnet.ndarray.reshape((-1\,)). Example:","mxnet.ndarray.Flatten(data=None\, out=None\, name=None\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.Flatten"
"mxnet.ndarray.FullyConnected","Applies a linear transformation: 𝑌=𝑋𝑊𝑇+𝑏Y=XWT+b.","mxnet.ndarray.FullyConnected(data=None\, weight=None\, bias=None\, num_hidden=_Null\, no_bias=_Null\, flatten=_Null\, out=None\, name=None\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.FullyConnected"
"mxnet.ndarray.GridGenerator","Generates 2D sampling grid for bilinear sampling.","mxnet.ndarray.GridGenerator(data=None\, transform_type=_Null\, target_shape=_Null\, out=None\, name=None\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.GridGenerator"
