name,description,signature,url
"ndarray.T","Returns a copy of the array with axes transposed.","ndarray.T","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.T"
"ndarray.abs","Convenience fluent method for abs().","ndarray.abs(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.abs"
"ndarray.arccos","Convenience fluent method for arccos().","ndarray.arccos(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.arccos"
"ndarray.arccosh","Convenience fluent method for arccosh().","ndarray.arccosh(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.arccosh"
"ndarray.arcsin","Convenience fluent method for arcsin().","ndarray.arcsin(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.arcsin"
"ndarray.arcsinh","Convenience fluent method for arcsinh().","ndarray.arcsinh(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.arcsinh"
"ndarray.arctan","Convenience fluent method for arctan().","ndarray.arctan(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.arctan"
"ndarray.arctanh","Convenience fluent method for arctanh().","ndarray.arctanh(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.arctanh"
"ndarray.argmax","Convenience fluent method for argmax().","ndarray.argmax(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.argmax"
"ndarray.argmax_channel","Convenience fluent method for argmax_channel().","ndarray.argmax_channel(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.argmax_channel"
"ndarray.argmin","Convenience fluent method for argmin().","ndarray.argmin(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.argmin"
"ndarray.argsort","Convenience fluent method for argsort().","ndarray.argsort(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.argsort"
"ndarray.as_in_context","Returns an array on the target device with the same value as this array.","ndarray.as_in_context(context)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.as_in_context"
"ndarray.as_nd_ndarray","A convenience function for creating a classic ndarray from the current ndarray with zero copy. For this class\, it just returns itself since it is already a classic ndarray.","ndarray.as_nd_ndarray()","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.as_nd_ndarray"
"ndarray.as_np_ndarray","Convert mxnet.ndarray.NDArray to mxnet.numpy.ndarray.","ndarray.as_np_ndarray()","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.as_np_ndarray"
"ndarray.asnumpy","Returns a numpy.ndarray object with value copied from this array.","ndarray.asnumpy()","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.asnumpy"
"ndarray.asscalar","Returns a scalar whose value is copied from this array.","ndarray.asscalar()","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.asscalar"
"ndarray.astype","Returns a copy of the array after casting to a specified type.","ndarray.astype(dtype\, copy=True)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.astype"
"ndarray.attach_grad","Attach a gradient buffer to this NDArray\, so that backward can compute gradient with respect to it.","ndarray.attach_grad(grad_req='write'\, stype=None)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.attach_grad"
"ndarray.backward","Compute the gradients of this NDArray w.r.t variables.","ndarray.backward(out_grad=None\, retain_graph=False\, train_mode=True)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.backward"
"ndarray.broadcast_axes","Convenience fluent method for broadcast_axes().","ndarray.broadcast_axes(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.broadcast_axes"
"ndarray.broadcast_like","Broadcasts the input array to the shape of other.","ndarray.broadcast_like(other)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.broadcast_like"
"ndarray.broadcast_to","Broadcasts the input array to a new shape.","ndarray.broadcast_to(shape)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.broadcast_to"
"ndarray.cbrt","Convenience fluent method for cbrt().","ndarray.cbrt(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.cbrt"
"ndarray.ceil","Convenience fluent method for ceil().","ndarray.ceil(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.ceil"
"ndarray.clip","Convenience fluent method for clip().","ndarray.clip(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.clip"
"ndarray.context","Device context of the array.","ndarray.context","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.context"
"ndarray.copy","Makes a copy of this NDArray\, keeping the same context.","ndarray.copy()","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.copy"
"ndarray.copyto","Copies the value of this array to another array.","ndarray.copyto(other)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.copyto"
"ndarray.cos","Convenience fluent method for cos().","ndarray.cos(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.cos"
"ndarray.cosh","Convenience fluent method for cosh().","ndarray.cosh(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.cosh"
"ndarray.ctx","Device context of the array. Has the same meaning as context.","ndarray.ctx","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.ctx"
"ndarray.degrees","Convenience fluent method for degrees().","ndarray.degrees(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.degrees"
"ndarray.depth_to_space","Convenience fluent method for depth_to_space().","ndarray.depth_to_space(*args\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.depth_to_space"
"ndarray.detach","Returns a new NDArray\, detached from the current graph.","ndarray.detach()","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.detach"
"ndarray.diag","Convenience fluent method for diag().","ndarray.diag(k=0\, **kwargs)","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.diag"
"ndarray.dtype","Data-type of the array’s elements.","ndarray.dtype","https://mxnet.apache.org/versions/1.8.0/api/python/docs/api/ndarray/ndarray.html#mxnet.ndarray.NDArray.dtype"
