name,category,subcategory
"numpy.absolute","math","special"
"numpy.add","math","arithmetic"
"numpy.all","logical",""
"numpy.allclose","logical",""
"numpy.amax","statistics",""
"numpy.amin","statistics",""
"numpy.angle","math","complex"
"numpy.any","logical",""
"numpy.append","manipulation",""
"numpy.apply_along_axis","utilities",""
"numpy.apply_over_axes","utilities",""
"numpy.arange","creation","range"
"numpy.arccos","math","trig"
"numpy.arccosh","math","trig"
"numpy.arcsin","math","trig"
"numpy.arcsinh","math","trig"
"numpy.arctan","math","trig"
"numpy.arctan2","math","trig"
"numpy.arctanh","math","trig"
"numpy.argmax","statistics",""
"numpy.argmin","statistics",""
"numpy.argpartition","sorting",""
"numpy.argsort","sorting",""
"numpy.argwhere","searching",""
"numpy.around","math","rounding"
"numpy.array","creation","existing_data"
"numpy.array2string","",""
"numpy.array_equal","",""
"numpy.array_equiv","",""
"numpy.array_repr","",""
"numpy.array_split","",""
"numpy.array_str","",""
"numpy.asanyarray","creation","existing_data"
"numpy.asarray","creation","existing_data"
"numpy.asarray_chkfinite","creation","existing_data"
"numpy.ascontiguousarray","creation","existing_data"
"numpy.asfarray","creation","existing_data"
"numpy.asfortranarray","creation","existing_data"
"numpy.asmatrix","creation","existing_data"
"numpy.asscalar","",""
"numpy.atleast_1d","manipulation","changing_shape"
"numpy.atleast_2d","manipulation","changing_shape"
"numpy.atleast_3d","manipulation","changing_shape"
"numpy.average","statistics",""
"numpy.bartlett","signal_processing",""
"numpy.base_repr","utilities",""
"numpy.binary_repr","utilities",""
"numpy.bincount","statistics",""
"numpy.bitwise_and","binary_ops",""
"numpy.bitwise_or","binary_ops",""
"numpy.bitwise_xor","binary_ops",""
"numpy.blackman","signal_processing",""
"numpy.block","manipulation","joining_arrays"
"numpy.bmat","creation",""
"numpy.broadcast_arrays","",""
"numpy.broadcast_to","",""
"numpy.busday_count","datetime",""
"numpy.busday_offset","datetime",""
"numpy.can_cast","utilities",""
"numpy.cbrt","math","special"
"numpy.ceil","math","rounding"
"numpy.char.add","string",""
"numpy.char.array","string",""
"numpy.char.asarray","string",""
"numpy.char.capitalize","string",""
"numpy.char.center","string",""
"numpy.char.count","string",""
"numpy.char.decode","string",""
"numpy.char.encode","string",""
"numpy.char.endswith","string",""
"numpy.char.equal","string",""
"numpy.char.expandtabs","string",""
"numpy.char.find","string",""
"numpy.char.greater","string",""
"numpy.char.greater_equal","string",""
"numpy.char.index","string",""
"numpy.char.isalnum","string",""
"numpy.char.isalpha","string",""
"numpy.char.isdecimal","string",""
"numpy.char.isdigit","string",""
"numpy.char.islower","string",""
"numpy.char.isnumeric","string",""
"numpy.char.isspace","string",""
"numpy.char.istitle","string",""
"numpy.char.isupper","string",""
"numpy.char.join","string",""
"numpy.char.less","string",""
"numpy.char.less_equal","string",""
"numpy.char.ljust","string",""
"numpy.char.lower","string",""
"numpy.char.lstrip","string",""
"numpy.char.mod","string",""
"numpy.char.multiply","string",""
"numpy.char.not_equal","string",""
"numpy.char.partition","string",""
"numpy.char.replace","string",""
"numpy.char.rfind","string",""
"numpy.char.rindex","string",""
"numpy.char.rjust","string",""
"numpy.char.rpartition","string",""
"numpy.char.rsplit","string",""
"numpy.char.rstrip","string",""
"numpy.char.split","string",""
"numpy.char.splitlines","string",""
"numpy.char.startswith","string",""
"numpy.char.str_len","string",""
"numpy.char.strip","string",""
"numpy.char.swapcase","string",""
"numpy.char.title","string",""
"numpy.char.translate","string",""
"numpy.char.upper","string",""
"numpy.char.zfill","string",""
"numpy.choose","creation",""
"numpy.clip","math","rounding"
"numpy.column_stack","manipulation","joining_arrays"
"numpy.common_type","",""
"numpy.compress","creation","existing_data"
"numpy.concatenate","manipulation","joining_arrays"
"numpy.conj","math","complex"
"numpy.conjugate","math","complex"
"numpy.convolve","signal_processing",""
"numpy.copy","creation","existing_data"
"numpy.copysign","math","special"
"numpy.copyto","manipulation",""
"numpy.core.records.array","",""
"numpy.core.records.fromarrays","",""
"numpy.core.records.fromfile","",""
"numpy.core.records.fromrecords","",""
"numpy.core.records.fromstring","",""
"numpy.corrcoef","statistics",""
"numpy.correlate","signal_processing",""
"numpy.cos","math","trig"
"numpy.cosh","math","trig"
"numpy.count_nonzero","counting",""
"numpy.cov","statistics",""
"numpy.cross","linalg",""
"numpy.cumprod","math","arithmetic"
"numpy.cumsum","math","arithmetic"
"numpy.datetime_as_string","datetime",""
"numpy.datetime_data","datetime",""
"numpy.deg2rad","math","trig"
"numpy.degrees","math","trig"
"numpy.delete","creation","existing_data"
"numpy.diag","indexing",""
"numpy.diag_indices","indexing",""
"numpy.diag_indices_from","",""
"numpy.diagflat","creation","existing_data"
"numpy.diagonal","indexing",""
"numpy.diff","",""
"numpy.digitize","statistics",""
"numpy.divide","math","arithmetic"
"numpy.divmod","math","arithmetic"
"numpy.dot","linalg",""
"numpy.dsplit","creation","existing_data"
"numpy.dstack","manipulation","joining_arrays"
"numpy.ediff1d","math","arithmetic"
"numpy.einsum","linalg",""
"numpy.einsum_path","linalg",""
"numpy.empty","creation",""
"numpy.empty_like","creation",""
"numpy.equal","logical",""
"numpy.exp","math","special"
"numpy.exp2","math","special"
"numpy.expand_dims","manipulation","changing_shape"
"numpy.expm1","math","special"
"numpy.extract","searching",""
"numpy.eye","creation",""
"numpy.fabs","math","special"
"numpy.fft.fft","signal_processing",""
"numpy.fft.fft2","signal_processing",""
"numpy.fft.fftfreq","signal_processing",""
"numpy.fft.fftn","signal_processing",""
"numpy.fft.fftshift","signal_processing",""
"numpy.fft.hfft","signal_processing",""
"numpy.fft.ifft","signal_processing",""
"numpy.fft.ifft2","signal_processing",""
"numpy.fft.ifftn","signal_processing",""
"numpy.fft.ifftshift","signal_processing",""
"numpy.fft.ihfft","signal_processing",""
"numpy.fft.irfft","signal_processing",""
"numpy.fft.irfft2","signal_processing",""
