name,description,signature,url
"ndarray","An array object represents a multidimensional\, homogeneous array of fixed-size items.","ndarray(shape[\, dtype\, buffer\, offset\, …])","https://numpy.org/doc/stable/reference/generated/numpy.ndarray.html#numpy.ndarray"
"ndarray.T","The transposed array.","ndarray.T","https://numpy.org/doc/stable/reference/generated/numpy.ndarray.T.html#numpy.ndarray.T"
"ndarray.__abs__","","ndarray.__abs__(self)","https://numpy.org/doc/stable/reference/generated/numpy.ndarray.__abs__.html#numpy.ndarray.__abs__"
"ndarray.__add__","Return self+value.","ndarray.__add__(value\, /)","https://numpy.org/doc/stable/reference/generated/numpy.ndarray.__add__.html#numpy.ndarray.__add__"
"ndarray.__and__","Return self&value.","ndarray.__and__(value\, /)","https://numpy.org/doc/stable/reference/generated/numpy.ndarray.__and__.html#numpy.ndarray.__and__"
"ndarray.__array__","Returns either a new reference to self if dtype is not given or a new array of provided data type if dtype is different from the current dtype of the array.","ndarray.__array__([dtype]\, /)","https://numpy.org/doc/stable/reference/generated/numpy.ndarray.__array__.html#numpy.ndarray.__array__"
"ndarray.__array_wrap__","","ndarray.__array_wrap__(obj)","https://numpy.org/doc/stable/reference/generated/numpy.ndarray.__array_wrap__.html#numpy.ndarray.__array_wrap__"
"ndarray.__bool__","self != 0","ndarray.__bool__(/)","https://numpy.org/doc/stable/reference/generated/numpy.ndarray.__bool__.html#numpy.ndarray.__bool__"
"ndarray.__complex__","","ndarray.__complex__","https://numpy.org/doc/stable/reference/generated/numpy.ndarray.__complex__.html#numpy.ndarray.__complex__"
"ndarray.__contains__","Return key in self.","ndarray.__contains__(key\, /)","https://numpy.org/doc/stable/reference/generated/numpy.ndarray.__contains__.html#numpy.ndarray.__contains__"
"ndarray.__copy__","Used if copy.copy is called on an array.","ndarray.__copy__()","https://numpy.org/doc/stable/reference/generated/numpy.ndarray.__copy__.html#numpy.ndarray.__copy__"
"ndarray.__deepcopy__","Used if copy.deepcopy is called on an array.","ndarray.__deepcopy__(memo\, /)","https://numpy.org/doc/stable/reference/generated/numpy.ndarray.__deepcopy__.html#numpy.ndarray.__deepcopy__"
