name,description,signature,url
"torch._assert","A wrapper around Python’s assert which is symbolically traceable.","torch._assert(condition\, message)","https://pytorch.org/docs/stable/generated/torch._assert.html#torch._assert"
"torch.abs","Computes the absolute value of each element in input.","torch.abs(input\, *\, out=None) → Tensor","https://pytorch.org/docs/stable/generated/torch.abs.html#torch.abs"
"torch.absolute","Alias for torch.abs()","torch.absolute(input\, *\, out=None) → Tensor","https://pytorch.org/docs/stable/generated/torch.absolute.html#torch.absolute"
"torch.acos","Computes the inverse cosine of each element in input.","torch.acos(input\, *\, out=None) → Tensor","https://pytorch.org/docs/stable/generated/torch.acos.html#torch.acos"
"torch.acosh","Returns a new tensor with the inverse hyperbolic cosine of the elements of input.","torch.acosh(input\, *\, out=None) → Tensor","https://pytorch.org/docs/stable/generated/torch.acosh.html#torch.acosh"
"torch.add","Adds the scalar other to each element of the input input and returns a new resulting tensor.","torch.add(input\, other\, *\, out=None)","https://pytorch.org/docs/stable/generated/torch.add.html#torch.add"
"torch.addbmm","Performs a batch matrix-matrix product of matrices stored in batch1 and batch2\, with a reduced add step (all matrix multiplications get accumulated along the first dimension). input is added to the final result.","torch.addbmm(input\, batch1\, batch2\, *\, beta=1\, alpha=1\, out=None) → Tensor","https://pytorch.org/docs/stable/generated/torch.addbmm.html#torch.addbmm"
"torch.addcdiv","Performs the element-wise division of tensor1 by tensor2\, multiply the result by the scalar value and add it to input.","torch.addcdiv(input\, tensor1\, tensor2\, *\, value=1\, out=None) → Tensor","https://pytorch.org/docs/stable/generated/torch.addcdiv.html#torch.addcdiv"
"torch.addcmul","Performs the element-wise multiplication of tensor1 by tensor2\, multiply the result by the scalar value and add it to input.","torch.addcmul(input\, tensor1\, tensor2\, *\, value=1\, out=None) → Tensor","https://pytorch.org/docs/stable/generated/torch.addcmul.html#torch.addcmul"
"torch.addmm","Performs a matrix multiplication of the matrices mat1 and mat2. The matrix input is added to the final result.","torch.addmm(input\, mat1\, mat2\, *\, beta=1\, alpha=1\, out=None) → Tensor","https://pytorch.org/docs/stable/generated/torch.addmm.html#torch.addmm"
