name,description,signature,url
"tensor.T","Is this Tensor with its dimensions reversed.","tensor.T","https://pytorch.org/docs/stable/tensors.html#torch.Tensor.T"
"tensor.abs","See torch.abs()","tensor.abs() → Tensor","https://pytorch.org/docs/stable/tensors.html#torch.Tensor.abs"
"tensor.abs_","In-place version of abs()","tensor.abs_() → Tensor","https://pytorch.org/docs/stable/tensors.html#torch.Tensor.abs_"
"tensor.absolute","Alias for abs()","tensor.absolute() → Tensor","https://pytorch.org/docs/stable/tensors.html#torch.Tensor.absolute"
"tensor.absolute_","In-place version of absolute()
Alias for abs_()","tensor.absolute_() → Tensor","https://pytorch.org/docs/stable/tensors.html#torch.Tensor.absolute_"
"tensor.acos","See torch.acos()","tensor.acos() → Tensor","https://pytorch.org/docs/stable/tensors.html#torch.Tensor.acos"
"tensor.acos_","In-place version of acos()","tensor.acos_() → Tensor","https://pytorch.org/docs/stable/tensors.html#torch.Tensor.acos_"
"tensor.acosh","See torch.acosh()","tensor.acosh() → Tensor","https://pytorch.org/docs/stable/tensors.html#torch.Tensor.acosh"
"tensor.acosh_","In-place version of acosh()","tensor.acosh_() → Tensor","https://pytorch.org/docs/stable/tensors.html#torch.Tensor.acosh_"
"tensor.add","Add a scalar or tensor to self tensor. If both alpha
and other are specified\, each element of other is scaled by
alpha before being used.","tensor.add(other\, *\, alpha=1) → Tensor","https://pytorch.org/docs/stable/tensors.html#torch.Tensor.add"
"tensor.add_","In-place version of add()","tensor.add_(other\, *\, alpha=1) → Tensor","https://pytorch.org/docs/stable/tensors.html#torch.Tensor.add_"
"tensor.addbmm","See torch.addbmm()","tensor.addbmm(batch1\, batch2\, *\, beta=1\, alpha=1) → Tensor","https://pytorch.org/docs/stable/tensors.html#torch.Tensor.addbmm"
"tensor.addbmm_","In-place version of addbmm()","tensor.addbmm_(batch1\, batch2\, *\, beta=1\, alpha=1) → Tensor","https://pytorch.org/docs/stable/tensors.html#torch.Tensor.addbmm_"
