name,description,signature,url
"COO","A sparse multidimensional array.","COO(coords[\, data\, shape\, has_duplicates\, …])","https://sparse.pydata.org/en/latest/generated/sparse.COO.html#sparse.COO"
"DOK","A class for building sparse multidimensional arrays.","DOK(shape[\, data\, dtype\, fill_value])","https://sparse.pydata.org/en/latest/generated/sparse.DOK.html#sparse.DOK"
"GCXS","A sparse multidimensional array.","GCXS(arg[\, shape\, compressed_axes\, prune\, …])","https://sparse.pydata.org/en/latest/generated/sparse.GCXS.html#sparse.GCXS"
"SparseArray","An abstract base class for all the sparse array classes.","SparseArray(shape[\, fill_value])","https://sparse.pydata.org/en/latest/generated/sparse.SparseArray.html#sparse.SparseArray"
"argwhere","Find the indices of array elements that are non-zero\, grouped by element.","argwhere(a)","https://sparse.pydata.org/en/latest/generated/sparse.argwhere.html#sparse.argwhere"
"as_coo","Converts any given format to COO.","as_coo(x[\, shape\, fill_value\, idx_dtype])","https://sparse.pydata.org/en/latest/generated/sparse.as_coo.html#sparse.as_coo"
"clip","Clip (limit) the values in the array.","clip(a[\, a_min\, a_max\, out])","https://sparse.pydata.org/en/latest/generated/sparse.clip.html#sparse.clip"
"concatenate","Concatenate the input arrays along the given dimension.","concatenate(arrays[\, axis\, compressed_axes])","https://sparse.pydata.org/en/latest/generated/sparse.concatenate.html#sparse.concatenate"
"diagonal","Extract diagonal from a COO array.","diagonal(a[\, offset\, axis1\, axis2])","https://sparse.pydata.org/en/latest/generated/sparse.diagonal.html#sparse.diagonal"
"diagonalize","Diagonalize a COO array.","diagonalize(a[\, axis])","https://sparse.pydata.org/en/latest/generated/sparse.diagonalize.html#sparse.diagonalize"
"dot","Perform the equivalent of numpy.dot on two arrays.","dot(a\, b)","https://sparse.pydata.org/en/latest/generated/sparse.dot.html#sparse.dot"
"elemwise","Apply a function to any number of arguments.","elemwise(func\, *args\, **kwargs)","https://sparse.pydata.org/en/latest/generated/sparse.elemwise.html#sparse.elemwise"
