name,description,signature,url
"tf.argsort","Returns the indices of a tensor that give its sorted order along an axis.","tf.argsort","https://www.tensorflow.org/api_docs/python/tf/argsort"
"tf.batch_to_space","BatchToSpace for N-D tensors of type T.","tf.batch_to_space","https://www.tensorflow.org/api_docs/python/tf/batch_to_space"
"tf.bitcast","Bitcasts a tensor from one type to another without copying data.","tf.bitcast","https://www.tensorflow.org/api_docs/python/tf/bitcast"
"tf.bitwise.bitwise_and","Elementwise computes the bitwise AND of x and y.","tf.bitwise.bitwise_and","https://www.tensorflow.org/api_docs/python/tf/bitwise/bitwise_and"
"tf.bitwise.bitwise_or","Elementwise computes the bitwise OR of x and y.","tf.bitwise.bitwise_or","https://www.tensorflow.org/api_docs/python/tf/bitwise/bitwise_or"
"tf.bitwise.bitwise_xor","Elementwise computes the bitwise XOR of x and y.","tf.bitwise.bitwise_xor","https://www.tensorflow.org/api_docs/python/tf/bitwise/bitwise_xor"
"tf.bitwise.invert","Invert (flip) each bit of supported types; for example\, type uint8 value 01010101 becomes 10101010.","tf.bitwise.invert","https://www.tensorflow.org/api_docs/python/tf/bitwise/invert"
"tf.bitwise.left_shift","Elementwise computes the bitwise left-shift of x and y.","tf.bitwise.left_shift","https://www.tensorflow.org/api_docs/python/tf/bitwise/left_shift"
"tf.bitwise.right_shift","Elementwise computes the bitwise right-shift of x and y.","tf.bitwise.right_shift","https://www.tensorflow.org/api_docs/python/tf/bitwise/right_shift"
"tf.boolean_mask","Apply boolean mask to tensor.","tf.boolean_mask","https://www.tensorflow.org/api_docs/python/tf/boolean_mask"
"tf.broadcast_dynamic_shape","Computes the shape of a broadcast given symbolic shapes.","tf.broadcast_dynamic_shape","https://www.tensorflow.org/api_docs/python/tf/broadcast_dynamic_shape"
"tf.broadcast_static_shape","Computes the shape of a broadcast given known shapes.","tf.broadcast_static_shape","https://www.tensorflow.org/api_docs/python/tf/broadcast_static_shape"
"tf.broadcast_to","Broadcast an array for a compatible shape.","tf.broadcast_to","https://www.tensorflow.org/api_docs/python/tf/broadcast_to"
"tf.case","Create a case operation.","tf.case","https://www.tensorflow.org/api_docs/python/tf/case"
"tf.cast","Casts a tensor to a new type.","tf.cast","https://www.tensorflow.org/api_docs/python/tf/cast"
"tf.clip_by_global_norm","Clips values of multiple tensors by the ratio of the sum of their norms.","tf.clip_by_global_norm","https://www.tensorflow.org/api_docs/python/tf/clip_by_global_norm"
"tf.clip_by_norm","Clips tensor values to a maximum L2-norm.","tf.clip_by_norm","https://www.tensorflow.org/api_docs/python/tf/clip_by_norm"
"tf.clip_by_value","Clips tensor values to a specified min and max.","tf.clip_by_value","https://www.tensorflow.org/api_docs/python/tf/clip_by_value"
"tf.concat","Concatenates tensors along one dimension.","tf.concat","https://www.tensorflow.org/api_docs/python/tf/concat"
"tf.cond","Return true_fn() if the predicate pred is true else false_fn().","tf.cond","https://www.tensorflow.org/api_docs/python/tf/cond"
"tf.constant","Creates a constant tensor from a tensor-like object.","tf.constant","https://www.tensorflow.org/api_docs/python/tf/constant"
"tf.constant_initializer","Initializer that generates tensors with constant values.","tf.constant_initializer","https://www.tensorflow.org/api_docs/python/tf/constant_initializer"
"tf.control_dependencies","Wrapper for Graph.control_dependencies() using the default graph.","tf.control_dependencies","https://www.tensorflow.org/api_docs/python/tf/control_dependencies"
"tf.convert_to_tensor","Converts the given value to a Tensor.","tf.convert_to_tensor","https://www.tensorflow.org/api_docs/python/tf/convert_to_tensor"
"tf.custom_gradient","Decorator to define a function with a custom gradient.","tf.custom_gradient","https://www.tensorflow.org/api_docs/python/tf/custom_gradient"
"tf.debugging.assert_equal","Assert the condition x == y holds element-wise.","tf.debugging.assert_equal","https://www.tensorflow.org/api_docs/python/tf/debugging/assert_equal"
"tf.debugging.assert_greater","Assert the condition x > y holds element-wise.","tf.debugging.assert_greater","https://www.tensorflow.org/api_docs/python/tf/debugging/assert_greater"
"tf.debugging.assert_less","Assert the condition x < y holds element-wise.","tf.debugging.assert_less","https://www.tensorflow.org/api_docs/python/tf/debugging/assert_less"
"tf.debugging.assert_rank","Assert that x has rank equal to rank.","tf.debugging.assert_rank","https://www.tensorflow.org/api_docs/python/tf/debugging/assert_rank"
"tf.device","Specifies the device for ops created/executed in this context.","tf.device","https://www.tensorflow.org/api_docs/python/tf/device"
"tf.dtypes.as_dtype","Converts the given type_value to a DType.","tf.dtypes.as_dtype","https://www.tensorflow.org/api_docs/python/tf/dtypes/as_dtype"
"tf.dtypes.complex","Converts two real numbers to a complex number.","tf.dtypes.complex","https://www.tensorflow.org/api_docs/python/tf/dtypes/complex"
"tf.dtypes.saturate_cast","Performs a safe saturating cast of value to dtype.","tf.dtypes.saturate_cast","https://www.tensorflow.org/api_docs/python/tf/dtypes/saturate_cast"
"tf.dynamic_partition","Partitions data into num_partitions tensors using indices from partitions.","tf.dynamic_partition","https://www.tensorflow.org/api_docs/python/tf/dynamic_partition"
"tf.dynamic_stitch","Interleave the values from the data tensors into a single tensor.","tf.dynamic_stitch","https://www.tensorflow.org/api_docs/python/tf/dynamic_stitch"
"tf.edit_distance","Computes the Levenshtein distance between sequences.","tf.edit_distance","https://www.tensorflow.org/api_docs/python/tf/edit_distance"
"tf.einsum","Tensor contraction over specified indices and outer product.","tf.einsum","https://www.tensorflow.org/api_docs/python/tf/einsum"
"tf.einsum","Tensor contraction over specified indices and outer product.","tf.einsum","https://www.tensorflow.org/api_docs/python/tf/einsum"
"tf.ensure_shape","Updates the shape of a tensor and checks at runtime that the shape holds.","tf.ensure_shape","https://www.tensorflow.org/api_docs/python/tf/ensure_shape"
"tf.executing_eagerly","Checks whether the current thread has eager execution enabled.","tf.executing_eagerly","https://www.tensorflow.org/api_docs/python/tf/executing_eagerly"
"tf.expand_dims","Returns a tensor with a length 1 axis inserted at index axis.","tf.expand_dims","https://www.tensorflow.org/api_docs/python/tf/expand_dims"
"tf.extract_volume_patches","Extract patches from input and put them in the ""depth"" output dimension. 3D extension of extract_image_patches.","tf.extract_volume_patches","https://www.tensorflow.org/api_docs/python/tf/extract_volume_patches"
